,kaffeine.csv,alembik.csv,co-ode-owl-plugins.csv,jmonkeyengine.csv,onotoa.csv,e-bio-flow.csv,ogrehg.csv,jaxlib.csv,chaperon.csv,nodal.csv,xpontus.csv,aten.csv,papertoolkit.csv,free-evolution.csv,jmule.csv
alembik.csv,0.26,0.79,0.13,0.43,0.27,0.37,0.4,0.53,0.0,0.16,0.0,0.2,0.37,0.28,0.2
chaperon.csv,0.62,0.48,0.28,0.6,0.24,0.23,0.51,0.47,0.98,0.52,0.86,0.0,0.37,0.14,0.55
co-ode-owl-plugins.csv,0.38,0.41,0.71,0.25,0.63,0.62,0.57,0.73,0.28,0.3,0.75,0.46,0.38,0.45,0.0
e-bio-flow.csv,0.15,0.66,0.07,0.49,0.38,0.69,0.31,0.54,0.0,0.26,0.92,0.45,0.0,0.31,0.25
free-evolution.csv,0.56,0.57,0.36,0.29,0.53,0.53,0.55,0.3,0.76,0.58,0.57,0.63,0.36,0.58,0.52
jaxlib.csv,0.15,0.27,0.73,0.07,0.6,0.27,0.35,0.99,0.43,0.51,0.0,0.49,0.36,0.55,0.1
jmonkeyengine.csv,0.59,0.33,0.46,0.64,0.53,0.5,0.6,0.54,0.6,0.48,0.0,0.0,0.86,0.39,0.28
jmule.csv,0.35,0.67,0.55,0.43,0.48,0.62,0.63,0.17,0.26,0.56,0.84,0.62,0.64,0.53,0.84
kaffeine.csv,0.87,0.68,0.39,0.66,0.0,0.62,0.55,0.24,0.65,0.6,0.83,0.9,0.66,0.62,0.72
nodal.csv,0.41,0.41,0.13,0.58,0.5,0.41,0.49,0.65,0.29,0.64,0.0,0.6,0.38,0.44,0.25
ogrehg.csv,0.24,0.57,0.75,0.64,0.49,0.54,0.69,0.46,0.29,0.11,0.0,0.0,0.68,0.37,0.14
onotoa.csv,0.17,0.55,0.71,0.46,0.62,0.41,0.56,0.0,0.0,0.2,0.0,0.27,0.0,0.37,0.0
papertoolkit.csv,0.4,0.4,0.42,0.2,0.28,0.3,0.39,0.45,0.0,0.16,0.0,0.25,0.96,0.11,0.42
