,kaffeine.csv,alembik.csv,co-ode-owl-plugins.csv,jmonkeyengine.csv,onotoa.csv,e-bio-flow.csv,ogrehg.csv,jaxlib.csv,chaperon.csv,nodal.csv,xpontus.csv,aten.csv,papertoolkit.csv,free-evolution.csv,jmule.csv
alembik.csv,0.55,0.36,0.54,0.59,0.65,0.5,0.47,0.53,0.8,0.8,0.64,0.74,0.69,0.65,0.8
chaperon.csv,0.52,0.62,0.44,0.51,0.93,0.7,0.59,0.39,0.88,0.81,0.56,0.5,0.57,0.8,0.43
co-ode-owl-plugins.csv,0.65,0.35,0.94,0.72,0.43,0.51,0.67,0.42,0.6,0.94,0.44,0.6,0.88,0.71,0.0
e-bio-flow.csv,0.83,0.34,0.92,0.62,0.57,0.5,0.87,0.75,0.58,0.72,0.69,0.58,0.89,0.76,0.9
free-evolution.csv,0.45,0.34,0.35,0.36,0.42,0.41,0.49,0.33,0.54,0.33,0.36,0.47,0.52,0.58,0.32
jaxlib.csv,0.83,0.67,0.85,0.75,0.42,0.83,0.84,0.8,0.54,0.4,0.89,0.46,0.71,0.47,0.75
jmonkeyengine.csv,0.45,0.52,0.68,0.62,0.56,0.48,0.53,0.88,0.46,0.58,0.69,0.36,0.6,0.47,0.67
jmule.csv,0.65,0.33,0.43,0.37,0.34,0.41,0.56,0.29,0.49,0.42,0.38,0.49,0.43,0.61,0.48
kaffeine.csv,0.37,0.35,0.4,0.36,0.29,0.33,0.41,0.3,0.39,0.33,0.42,0.35,0.35,0.43,0.33
nodal.csv,0.71,0.69,0.71,0.42,0.38,0.56,0.65,0.38,0.54,0.65,0.65,0.68,0.86,0.72,0.83
ogrehg.csv,0.7,0.39,0.64,0.53,0.55,0.47,0.51,0.44,0.81,0.9,0.47,0.41,0.74,0.68,0.91
onotoa.csv,0.86,0.54,0.95,0.79,0.5,0.73,0.71,0.88,0.92,0.86,0.95,0.89,0.91,0.87,0.0
papertoolkit.csv,0.47,0.73,0.55,0.89,0.86,0.63,0.54,0.36,0.67,0.89,0.49,0.74,0.79,0.9,0.58
