,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,opensim4opencog.csv,java-gnome.csv,miranda-icq.csv,t-2.csv,boost.csv,ofbiz.csv,xcf.csv
adaptagrams.csv,0.93,0.49,0.57,0.48,0.3,0.37,0.64,0.35,0.34,0.39,0.19
badtrinitycore.csv,0.36,0.23,0.19,0.91,0.2,0.0,0.15,0.21,0.1,0.2,0.22
boost.csv,0.51,0.5,0.51,0.58,0.52,0.42,0.51,0.64,0.96,0.45,0.54
electric-core.csv,0.27,0.58,0.92,0.61,0.57,0.6,0.6,0.28,0.28,0.38,0.52
java-gnome.csv,0.34,0.0,0.6,0.64,0.69,0.99,0.0,0.42,0.0,0.55,0.29
miranda-icq.csv,0.68,0.64,0.51,0.5,0.62,0.68,0.95,0.38,0.34,0.39,0.32
ofbiz.csv,0.62,0.73,0.2,0.3,0.55,0.13,0.45,0.66,0.48,0.99,0.14
olsrd.csv,0.56,0.99,0.48,0.59,0.64,0.62,0.7,0.61,0.53,0.58,0.67
opensim4opencog.csv,0.47,0.28,0.07,0.34,0.97,0.09,0.33,0.62,0.27,0.65,0.45
t-2.csv,0.0,0.23,0.27,0.43,0.16,0.13,0.02,0.99,0.26,0.2,0.14
xcf.csv,0.68,0.74,0.58,0.6,0.58,0.32,0.59,0.52,0.52,0.32,0.99
