,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,opensim4opencog.csv,java-gnome.csv,miranda-icq.csv,t-2.csv,boost.csv,ofbiz.csv,xcf.csv
adaptagrams.csv,0.92,0.78,0.53,0.43,0.26,0.33,0.73,0.31,0.3,0.35,0.16
badtrinitycore.csv,0.31,0.19,0.16,0.89,0.17,0.0,0.12,0.18,0.08,0.17,0.19
boost.csv,0.5,0.51,0.47,0.64,0.61,0.39,0.5,0.66,0.95,0.41,0.5
electric-core.csv,0.23,0.76,0.9,0.68,0.74,0.63,0.62,0.25,0.24,0.34,0.47
java-gnome.csv,0.31,1.0,0.71,0.85,0.78,1.0,1.0,0.4,1.0,0.56,0.25
miranda-icq.csv,0.77,0.76,0.47,0.45,0.74,0.68,0.94,0.34,0.3,0.35,0.28
ofbiz.csv,0.73,0.72,0.17,0.26,0.52,0.11,0.42,0.68,0.45,0.99,0.12
olsrd.csv,0.96,0.99,0.88,0.87,0.7,0.82,0.79,0.73,0.56,0.67,0.75
opensim4opencog.csv,0.42,0.24,0.06,0.3,0.96,0.07,0.29,0.8,0.23,0.74,0.5
t-2.csv,0.0,0.21,0.23,0.38,0.13,0.11,0.02,0.99,0.22,0.17,0.12
xcf.csv,0.85,0.78,0.57,0.57,0.61,0.28,0.71,0.8,0.56,0.28,1.0
