,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,opensim4opencog.csv,java-gnome.csv,miranda-icq.csv,t-2.csv,boost.csv,ofbiz.csv,xcf.csv
adaptagrams.csv,0.38,0.52,0.67,0.76,0.63,0.64,0.5,0.64,0.62,0.64,0.8
badtrinitycore.csv,0.78,0.77,0.98,0.98,0.95,0.75,0.94,0.96,0.94,0.98,0.92
boost.csv,0.48,0.52,0.66,0.55,0.59,0.68,0.52,0.59,0.68,0.66,0.68
electric-core.csv,0.86,0.48,0.86,0.58,0.54,0.48,0.58,0.75,0.82,0.67,0.84
java-gnome.csv,0.68,0.44,0.44,0.43,0.43,0.41,0.39,0.52,0.45,0.4,0.75
miranda-icq.csv,0.36,0.5,0.73,0.76,0.54,0.41,0.79,0.84,0.6,0.55,0.72
ofbiz.csv,0.35,0.44,0.91,0.75,0.56,0.89,0.47,0.5,0.54,0.44,0.89
olsrd.csv,0.32,0.39,0.37,0.41,0.44,0.33,0.42,0.46,0.43,0.39,0.4
opensim4opencog.csv,0.47,0.61,0.95,0.8,0.95,0.83,0.51,0.61,0.82,0.49,0.67
t-2.csv,0.8,0.96,0.99,0.96,0.96,0.89,0.83,0.99,0.93,0.98,0.9
xcf.csv,0.35,0.38,0.47,0.59,0.57,0.8,0.41,0.43,0.51,0.66,0.48
