,moviesandbox.csv,arcallians.csv,yale.csv,unflobtactical.csv,kml.csv,sigil.csv,les-indemodables.csv,xtreemfs.csv,biopax.csv,crux-framework.csv,metacosm.csv
arcallians.csv,0.83,0.32,0.43,0.31,0.18,0.65,0.82,0.33,0.35,0.83,0.68
biopax.csv,0.97,0.92,1.0,0.77,0.72,0.86,0.95,0.95,0.0,1.0,1.0
crux-framework.csv,0.14,0.32,0.11,0.04,0.64,0.08,0.11,0.1,0.1,0.12,0.16
kml.csv,0.83,0.98,0.98,0.62,0.18,0.73,0.91,0.89,1.0,1.0,1.0
les-indemodables.csv,0.49,0.5,0.72,0.31,0.54,0.3,0.18,0.67,0.55,0.75,0.35
metacosm.csv,0.34,0.05,0.48,0.23,0.13,0.05,0.4,0.54,0.2,0.31,0.23
moviesandbox.csv,0.4,0.08,0.25,0.35,0.13,0.46,0.83,0.43,0.3,0.61,0.61
sigil.csv,0.51,0.05,0.27,0.15,0.0,0.22,0.45,0.05,0.05,0.49,0.71
unflobtactical.csv,0.57,0.1,0.73,0.27,0.03,0.27,0.94,0.46,0.4,0.9,0.55
xtreemfs.csv,0.54,0.52,0.29,0.23,0.13,0.22,0.6,0.21,0.05,0.65,0.42
yale.csv,0.57,0.22,0.27,0.88,0.62,0.65,0.63,0.39,0.5,0.24,0.26
