,moviesandbox.csv,arcallians.csv,yale.csv,unflobtactical.csv,kml.csv,sigil.csv,les-indemodables.csv,xtreemfs.csv,biopax.csv,crux-framework.csv,metacosm.csv
arcallians.csv,0.74,0.75,0.31,0.75,0.59,0.81,0.54,0.89,0.88,0.06,0.65
biopax.csv,0.7,0.68,0.26,0.76,0.65,0.76,0.54,0.91,0.88,0.05,0.64
crux-framework.csv,0.25,0.37,0.14,0.05,0.53,0.31,0.04,0.35,0.13,0.32,0.12
kml.csv,0.71,0.69,0.26,0.76,0.77,0.78,0.56,0.9,0.88,0.05,0.62
les-indemodables.csv,0.67,0.62,0.28,0.7,0.7,0.69,0.68,0.69,0.77,0.07,0.67
metacosm.csv,0.68,0.52,0.29,0.66,0.61,0.62,0.53,0.86,0.75,0.1,0.74
moviesandbox.csv,0.71,0.53,0.17,0.72,0.22,0.81,0.54,0.86,0.82,0.06,0.63
sigil.csv,0.73,0.67,0.31,0.78,0.11,0.85,0.57,0.7,0.55,0.07,0.66
unflobtactical.csv,0.75,0.45,0.23,0.76,0.15,0.86,0.55,0.88,0.82,0.06,0.56
xtreemfs.csv,0.76,0.73,0.33,0.78,0.74,0.85,0.55,0.89,0.62,0.08,0.62
yale.csv,0.51,0.37,0.33,0.6,0.67,0.68,0.36,0.33,0.64,0.13,0.41
