,moviesandbox.csv,arcallians.csv,yale.csv,unflobtactical.csv,kml.csv,sigil.csv,les-indemodables.csv,xtreemfs.csv,biopax.csv,crux-framework.csv,metacosm.csv
arcallians.csv,0.83,0.4,0.56,0.4,0.53,0.65,0.82,0.36,0.38,0.83,0.69
biopax.csv,0.97,0.93,1.0,0.77,0.73,0.86,0.95,0.95,0.21,1.0,1.0
crux-framework.csv,0.85,0.78,0.88,0.97,0.75,0.81,0.98,0.79,0.93,0.12,0.94
kml.csv,0.83,0.97,0.98,0.63,0.31,0.73,0.91,0.89,1.0,1.0,1.0
les-indemodables.csv,0.57,0.61,0.74,0.46,0.56,0.47,0.37,0.78,0.62,0.75,0.46
metacosm.csv,0.48,0.64,0.61,0.49,0.52,0.54,0.55,0.57,0.42,0.46,0.34
moviesandbox.csv,0.48,0.62,0.81,0.45,0.87,0.47,0.83,0.47,0.38,0.69,0.65
sigil.csv,0.55,0.48,0.61,0.32,0.94,0.27,0.54,0.46,0.62,0.59,0.72
unflobtactical.csv,0.59,0.69,0.81,0.37,0.92,0.29,0.94,0.48,0.46,0.9,0.66
xtreemfs.csv,0.55,0.55,0.57,0.35,0.36,0.27,0.64,0.27,0.55,0.65,0.54
yale.csv,0.76,0.76,0.58,0.93,0.64,0.7,0.83,0.88,0.68,0.41,0.71
