,moviesandbox.csv,arcallians.csv,yale.csv,unflobtactical.csv,kml.csv,sigil.csv,les-indemodables.csv,xtreemfs.csv,biopax.csv,crux-framework.csv,metacosm.csv
arcallians.csv,0.42,0.57,0.57,0.38,0.6,0.46,0.49,0.37,0.5,0.44,0.39
biopax.csv,0.38,0.49,0.41,0.39,0.32,0.44,0.48,0.3,0.57,0.42,0.41
crux-framework.csv,0.92,0.96,0.99,0.5,0.43,0.92,0.88,0.99,0.86,0.88,0.86
kml.csv,0.38,0.48,0.42,0.36,0.44,0.44,0.49,0.32,0.42,0.42,0.42
les-indemodables.csv,0.4,0.41,0.42,0.42,0.35,0.43,0.49,0.44,0.45,0.36,0.4
metacosm.csv,0.41,0.61,0.46,0.46,0.52,0.5,0.45,0.36,0.55,0.56,0.44
moviesandbox.csv,0.39,0.65,1.0,0.41,0.9,0.48,0.5,0.39,0.58,0.62,0.42
sigil.csv,0.37,0.6,0.77,0.34,0.5,0.44,0.49,0.57,0.75,0.49,0.41
unflobtactical.csv,0.36,0.89,0.53,0.39,0.75,0.47,0.49,0.37,0.59,0.45,0.47
xtreemfs.csv,0.4,0.5,0.57,0.41,0.48,0.44,0.49,0.38,0.67,0.45,0.42
yale.csv,0.69,0.95,0.69,0.48,0.48,0.6,0.79,0.69,0.4,0.57,0.53
