,kvs.csv,fltk.csv,phet.csv,blue-c.csv,voms.csv,jbasic.csv,apertium.csv,smarttag.csv,vrjuggler.csv,sumatrapdf.csv,monetdb.csv,wheat.csv,repositorium.csv,projecteqemu.csv,free-evolution.csv,icescrum.csv,factor.csv
apertium.csv,1.0,2.0,7.0,0.0,2.0,0.0,1.0,5.0,7.0,9.0,9.0,0.0,7.0,1.0,5.0,0.0,4.0
blue-c.csv,10.0,2.0,5.0,0.0,8.0,1.0,8.0,4.0,6.0,0.0,2.0,4.0,25.0,0.0,7.0,2.0,1.0
factor.csv,3.0,1.0,0.0,0.0,74.0,0.0,23.0,10.0,5.0,0.0,0.0,4.0,96.0,0.0,12.0,1.0,0.0
fltk.csv,8.0,2.0,4.0,0.0,5.0,0.0,9.0,4.0,1.0,0.0,2.0,0.0,3.0,0.0,1.0,3.0,0.0
free-evolution.csv,3.0,2.0,22.0,0.0,6.0,0.0,1.0,5.0,12.0,0.0,0.0,0.0,4.0,1.0,2.0,6.0,5.0
icescrum.csv,5.0,2.0,2.0,0.0,12.0,0.0,1.0,0.0,1.0,5.0,8.0,0.0,10.0,0.0,2.0,0.0,1.0
jbasic.csv,19.0,5.0,5.0,2.0,24.0,0.0,8.0,3.0,6.0,0.0,3.0,2.0,96.0,0.0,10.0,2.0,0.0
kvs.csv,0.0,3.0,8.0,54.0,4.0,0.0,1.0,1.0,9.0,1.0,4.0,0.0,5.0,2.0,5.0,0.0,9.0
monetdb.csv,95.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,9.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,1.0
phet.csv,25.0,2.0,3.0,2.0,13.0,0.0,4.0,1.0,11.0,3.0,3.0,0.0,2.0,0.0,13.0,7.0,0.0
projecteqemu.csv,1.0,4.0,5.0,0.0,74.0,0.0,3.0,1.0,13.0,0.0,9.0,1.0,96.0,0.0,1.0,1.0,2.0
repositorium.csv,21.0,1.0,5.0,54.0,12.0,128.0,82.0,52.0,74.0,0.0,3.0,0.0,1.0,6.0,8.0,9.0,1.0
smarttag.csv,21.0,0.0,1.0,1.0,9.0,2.0,14.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,5.0,1.0,0.0
sumatrapdf.csv,18.0,5.0,5.0,1.0,11.0,0.0,9.0,4.0,6.0,0.0,3.0,1.0,3.0,0.0,12.0,3.0,0.0
voms.csv,0.0,2.0,3.0,0.0,0.0,0.0,7.0,5.0,5.0,0.0,2.0,2.0,3.0,0.0,2.0,2.0,0.0
vrjuggler.csv,19.0,3.0,8.0,2.0,74.0,0.0,1.0,52.0,5.0,3.0,1.0,1.0,7.0,1.0,6.0,1.0,0.0
wheat.csv,3.0,1.0,4.0,0.0,12.0,13.0,3.0,2.0,6.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0
