,capcode.csv,lmms.csv,linuxsh.csv,mcmc-jags.csv,scite-ru.csv,bl-toolkit.csv,nicepress.csv,sbml.csv,gpac.csv,mbse.csv,gebr.csv,gretl.csv,kowari.csv,libtorrent.csv,modellus.csv,kindb.csv,lufa-lib.csv,bibletime.csv,mplayer-ce.csv,miranda.csv
bibletime.csv,0.14,0.7,0.17,0.45,0.35,0.76,0.41,0.74,0.56,0.27,0.84,0.88,0.08,0.87,0.53,0.69,0.44,1.0,0.47,0.69
bl-toolkit.csv,0.17,0.71,0.18,0.42,0.41,1.0,0.43,0.68,0.62,0.28,0.9,0.89,0.11,0.96,0.68,0.2,0.38,0.85,0.46,0.7
capcode.csv,1.0,0.35,0.17,0.38,0.0,0.64,0.35,0.38,0.0,0.56,0.52,0.86,0.5,0.71,0.59,1.0,0.41,0.62,0.66,0.83
gebr.csv,0.15,0.7,0.19,0.36,0.37,0.82,0.38,0.74,0.54,0.26,1.0,0.85,0.09,0.87,0.6,0.63,0.48,0.85,0.45,0.68
gpac.csv,0.24,0.58,0.15,0.0,0.32,0.88,0.34,0.7,1.0,0.36,0.81,0.83,0.08,0.82,0.54,0.71,0.36,0.9,0.4,0.68
gretl.csv,0.17,0.74,0.16,0.33,0.32,0.78,0.4,0.83,0.58,0.26,0.86,0.99,0.06,0.85,0.59,0.74,0.44,0.89,0.45,0.68
kindb.csv,0.13,0.77,0.17,0.45,0.35,0.73,0.51,0.78,0.54,0.34,0.87,0.9,0.09,0.91,0.62,1.0,0.4,0.89,0.48,0.73
kowari.csv,0.1,0.56,0.1,0.16,0.2,0.59,0.27,0.55,0.5,0.17,0.79,0.57,1.0,0.83,0.28,0.5,0.39,0.68,0.41,0.25
libtorrent.csv,0.15,0.68,0.17,0.43,0.32,0.66,0.36,0.79,0.56,0.25,0.86,0.89,0.08,1.0,0.52,0.71,0.43,0.85,0.46,0.69
linuxsh.csv,0.23,0.64,1.0,0.17,0.31,0.71,0.4,0.85,0.52,0.21,0.63,0.8,0.07,0.89,0.64,0.77,0.4,0.93,0.45,0.71
lmms.csv,0.27,1.0,0.15,0.31,0.35,0.61,0.35,0.74,0.55,0.24,0.85,0.83,0.09,0.86,0.57,0.66,0.5,0.84,0.46,0.67
lufa-lib.csv,0.13,0.69,0.19,0.5,0.22,0.83,0.31,0.54,0.57,0.38,0.63,0.9,0.06,0.81,0.52,0.62,1.0,0.82,0.44,0.73
mbse.csv,0.16,0.6,0.09,0.12,0.32,0.5,0.37,0.71,0.58,1.0,0.7,0.79,0.08,0.82,0.56,0.77,0.43,0.8,0.49,0.67
mcmc-jags.csv,0.12,0.77,0.22,0.94,0.4,0.77,0.46,0.76,0.6,0.34,0.95,0.88,0.13,0.88,0.56,0.85,0.57,0.93,0.51,0.77
miranda.csv,0.21,0.69,0.17,0.44,0.4,0.72,0.43,0.78,0.5,0.21,0.82,0.87,0.13,0.88,0.65,0.76,0.34,0.91,0.45,0.98
modellus.csv,0.16,0.79,0.12,0.38,0.18,0.74,0.39,0.77,0.57,0.25,0.92,0.85,0.12,0.83,1.0,0.71,0.35,0.91,0.43,0.7
mplayer-ce.csv,0.1,0.62,0.19,0.5,0.28,0.67,0.27,0.66,0.49,0.22,0.8,0.84,0.15,0.86,0.45,0.83,0.64,0.8,0.99,0.73
nicepress.csv,0.13,0.62,0.14,0.38,0.35,1.0,1.0,0.86,0.56,0.29,0.94,0.82,0.08,0.96,0.43,0.82,0.36,0.84,0.43,0.72
sbml.csv,0.21,0.68,0.2,0.26,0.33,0.82,0.42,0.99,0.57,0.17,0.79,0.85,0.11,0.9,0.61,0.66,0.43,0.88,0.43,0.65
scite-ru.csv,0.14,0.66,0.43,0.35,0.9,0.75,0.43,0.73,0.41,0.18,0.8,0.88,0.08,0.9,0.46,0.77,0.44,0.87,0.47,0.75
