,capcode.csv,lmms.csv,linuxsh.csv,mcmc-jags.csv,scite-ru.csv,bl-toolkit.csv,nicepress.csv,sbml.csv,gpac.csv,mbse.csv,gebr.csv,gretl.csv,kowari.csv,libtorrent.csv,modellus.csv,kindb.csv,lufa-lib.csv,bibletime.csv,mplayer-ce.csv,miranda.csv
bibletime.csv,0.52,0.64,0.56,0.81,0.67,0.68,0.66,0.6,0.48,0.54,0.58,0.71,0.23,0.63,0.56,0.24,0.55,1.0,0.53,0.5
bl-toolkit.csv,0.63,0.53,0.6,0.38,0.59,1.0,0.57,0.4,0.67,0.61,0.5,0.68,0.65,0.3,0.6,0.04,0.48,0.3,0.43,0.16
capcode.csv,0.93,0.07,0.11,0.24,0.0,0.17,0.2,0.09,0.0,0.1,0.29,0.25,0.17,0.06,0.18,0.04,0.17,0.1,0.17,0.16
gebr.csv,0.54,0.63,0.49,0.73,0.69,0.7,0.61,0.57,0.46,0.52,0.98,0.63,0.21,0.64,0.7,0.36,0.64,0.56,0.24,0.46
gpac.csv,0.46,0.33,0.39,0.0,0.33,0.32,0.32,0.42,0.94,0.61,0.26,0.39,0.45,0.37,0.52,0.33,0.32,0.45,0.46,0.46
gretl.csv,0.61,0.7,0.52,0.66,0.62,0.68,0.63,0.71,0.5,0.27,0.66,0.98,0.22,0.56,0.7,0.66,0.39,0.73,0.17,0.49
kindb.csv,0.52,0.61,0.47,0.38,0.64,0.42,0.63,0.68,0.48,0.71,0.58,0.67,0.53,0.69,0.72,0.95,0.46,0.7,0.59,0.69
kowari.csv,0.1,0.25,0.36,0.23,0.06,0.39,0.2,0.34,0.21,0.26,0.31,0.16,0.75,0.3,0.07,0.27,0.34,0.23,0.23,0.0
libtorrent.csv,0.42,0.61,0.56,0.62,0.53,0.2,0.54,0.7,0.45,0.13,0.67,0.7,0.0,1.0,0.35,0.53,0.55,0.55,0.49,0.58
linuxsh.csv,0.29,0.49,1.0,0.3,0.55,0.59,0.56,0.69,0.48,0.47,0.4,0.36,0.43,0.63,0.64,0.6,0.13,0.62,0.43,0.58
lmms.csv,0.6,1.0,0.31,0.61,0.63,0.42,0.55,0.6,0.55,0.09,0.61,0.41,0.54,0.6,0.33,0.51,0.66,0.55,0.24,0.56
lufa-lib.csv,0.44,0.35,0.48,0.51,0.22,0.43,0.44,0.33,0.27,0.21,0.27,0.36,0.17,0.3,0.52,0.32,0.97,0.31,0.18,0.41
mbse.csv,0.51,0.42,0.11,0.28,0.59,0.29,0.45,0.3,0.55,0.95,0.51,0.4,0.45,0.47,0.53,0.6,0.47,0.43,0.45,0.5
mcmc-jags.csv,0.49,0.57,0.62,1.0,0.23,0.63,0.65,0.58,0.53,0.49,0.44,0.54,0.58,0.46,0.56,0.37,0.36,0.44,0.4,0.66
miranda.csv,0.53,0.62,0.47,0.31,0.65,0.48,0.57,0.64,0.41,0.47,0.37,0.32,0.47,0.67,0.32,0.57,0.19,0.64,0.52,0.99
modellus.csv,0.45,0.54,0.42,0.24,0.22,0.64,0.4,0.4,0.54,0.39,0.4,0.6,0.58,0.34,0.95,0.59,0.27,0.51,0.32,0.49
mplayer-ce.csv,0.28,0.47,0.62,0.69,0.48,0.49,0.4,0.44,0.48,0.46,0.62,0.47,0.69,0.52,0.43,0.73,0.47,0.48,0.96,0.58
nicepress.csv,0.2,0.28,0.11,0.24,0.37,0.1,0.95,0.29,0.11,0.63,0.18,0.53,0.33,0.3,0.09,0.45,0.44,0.42,0.53,0.49
sbml.csv,0.64,0.57,0.63,0.51,0.61,0.63,0.67,0.99,0.58,0.18,0.46,0.6,0.69,0.71,0.58,0.23,0.56,0.63,0.47,0.51
scite-ru.csv,0.42,0.58,0.31,0.68,0.91,0.55,0.69,0.61,0.34,0.37,0.05,0.29,0.2,0.57,0.41,0.65,0.15,0.71,0.35,0.59
