,capcode.csv,lmms.csv,linuxsh.csv,mcmc-jags.csv,scite-ru.csv,bl-toolkit.csv,nicepress.csv,sbml.csv,gpac.csv,mbse.csv,gebr.csv,gretl.csv,kowari.csv,libtorrent.csv,modellus.csv,kindb.csv,lufa-lib.csv,bibletime.csv,mplayer-ce.csv,miranda.csv
bibletime.csv,0.24,0.77,0.27,0.59,0.49,0.77,0.58,0.82,0.69,0.41,0.67,0.84,0.14,0.81,0.67,0.8,0.57,1.0,0.61,0.8
bl-toolkit.csv,0.28,0.59,0.29,0.37,0.48,1.0,0.48,0.48,0.69,0.4,0.6,0.79,0.2,0.41,0.63,0.05,0.48,0.4,0.61,0.21
capcode.csv,0.96,0.1,0.12,0.26,0.0,0.23,0.23,0.11,0.0,0.14,0.35,0.34,0.22,0.1,0.24,0.06,0.21,0.14,0.23,0.22
gebr.csv,0.24,0.78,0.32,0.51,0.51,0.77,0.5,0.84,0.64,0.35,0.98,0.83,0.16,0.81,0.68,0.67,0.62,0.9,0.61,0.79
gpac.csv,0.3,0.39,0.22,0.0,0.3,0.42,0.31,0.5,0.96,0.45,0.35,0.49,0.13,0.48,0.52,0.42,0.32,0.56,0.43,0.53
gretl.csv,0.28,0.75,0.26,0.46,0.45,0.75,0.55,0.77,0.72,0.41,0.74,0.99,0.12,0.75,0.7,0.82,0.59,0.85,0.62,0.78
kindb.csv,0.22,0.68,0.24,0.38,0.47,0.5,0.56,0.77,0.64,0.48,0.67,0.77,0.16,0.8,0.7,0.97,0.43,0.81,0.56,0.77
kowari.csv,0.09,0.31,0.16,0.18,0.08,0.46,0.21,0.42,0.26,0.19,0.4,0.22,0.83,0.39,0.1,0.32,0.34,0.31,0.27,0.01
libtorrent.csv,0.26,0.76,0.28,0.5,0.48,0.72,0.51,0.78,0.68,0.4,0.75,0.81,0.15,1.0,0.67,0.81,0.55,0.88,0.6,0.78
linuxsh.csv,0.24,0.55,1.0,0.21,0.4,0.71,0.47,0.76,0.5,0.31,0.49,0.47,0.11,0.75,0.64,0.67,0.18,0.72,0.43,0.65
lmms.csv,0.37,1.0,0.26,0.47,0.46,0.52,0.48,0.69,0.58,0.39,0.69,0.86,0.15,0.75,0.38,0.67,0.62,0.67,0.62,0.69
lufa-lib.csv,0.2,0.42,0.27,0.48,0.21,0.52,0.35,0.45,0.33,0.25,0.35,0.47,0.08,0.39,0.52,0.4,0.98,0.41,0.23,0.49
mbse.csv,0.24,0.48,0.09,0.17,0.43,0.36,0.39,0.38,0.57,0.97,0.63,0.51,0.14,0.61,0.54,0.67,0.44,0.55,0.45,0.57
mcmc-jags.csv,0.2,0.64,0.33,0.97,0.26,0.71,0.55,0.66,0.56,0.39,0.55,0.66,0.21,0.58,0.56,0.47,0.41,0.55,0.42,0.71
miranda.csv,0.29,0.69,0.24,0.33,0.5,0.56,0.49,0.72,0.43,0.31,0.47,0.43,0.2,0.84,0.39,0.64,0.22,0.74,0.49,0.99
modellus.csv,0.23,0.61,0.2,0.26,0.19,0.77,0.38,0.49,0.56,0.39,0.5,0.82,0.2,0.44,0.97,0.68,0.47,0.62,0.57,0.56
mplayer-ce.csv,0.14,0.54,0.3,0.57,0.35,0.58,0.32,0.52,0.5,0.3,0.7,0.59,0.25,0.64,0.43,0.78,0.5,0.62,0.97,0.64
nicepress.csv,0.15,0.34,0.11,0.26,0.34,0.15,0.97,0.39,0.15,0.42,0.26,0.72,0.12,0.41,0.12,0.55,0.46,0.54,0.51,0.56
sbml.csv,0.31,0.64,0.32,0.35,0.49,0.7,0.54,0.99,0.61,0.16,0.55,0.74,0.2,0.83,0.59,0.74,0.52,0.75,0.55,0.69
scite-ru.csv,0.24,0.69,0.33,0.48,0.9,0.63,0.56,0.77,0.36,0.24,0.08,0.39,0.14,0.68,0.56,0.72,0.19,0.91,0.37,0.65
