,empyrean.csv,amanda.csv,nutz.csv,impala.csv,multitude.csv,pi-qmc.csv
amanda.csv,0.61,0.67,0.32,0.56,0.69,0.82
empyrean.csv,0.71,0.0,0.0,0.0,0.0,0.09
impala.csv,0.51,0.23,0.11,0.52,0.54,0.68
multitude.csv,0.87,0.77,0.87,0.96,0.71,0.95
nutz.csv,0.61,0.54,0.72,0.4,0.77,0.86
pi-qmc.csv,0.52,0.56,0.66,0.6,0.55,0.86
