,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,m-a-d-n-e-s-s.csv,yarp.csv,ftm.csv
bloodycore.csv,0.46,0.35,0.35,0.98,0.45,0.5,0.79,0.46,0.43
flylegacy.csv,0.4,0.5,0.39,0.79,0.48,0.88,0.51,0.64,0.54
ftm.csv,0.83,0.83,0.45,0.77,0.78,0.92,0.58,0.75,0.56
jguard.csv,0.43,0.5,0.5,0.55,0.6,0.68,0.49,0.65,0.5
m-a-d-n-e-s-s.csv,0.75,0.8,0.42,0.87,0.67,0.5,0.68,0.57,0.58
mob-sen-plat.csv,0.41,0.36,0.42,0.43,0.43,0.6,0.48,0.69,0.36
raygina.csv,0.56,0.86,0.47,0.54,0.56,0.65,0.93,0.59,0.61
upp-mirror.csv,0.48,0.5,0.4,0.55,0.46,0.65,0.51,0.69,0.75
yarp.csv,0.86,0.8,0.9,0.98,0.93,0.94,0.83,0.75,0.95
