,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv,fluent-nhibernate.csv,uface.csv,cme.csv
boost-sandbox.csv,0.05,0.64,0.52,0.6,0.76,0.58,0.69,0.58,0.96,0.69,0.33,0.97,0.76,0.94,1.0
bscwweasel.csv,0.02,0.07,0.5,0.7,0.57,0.42,0.4,0.6,0.39,0.53,0.33,0.19,0.53,0.59,0.6
capcode.csv,0.02,0.93,0.82,0.85,0.48,0.75,0.44,0.31,0.74,0.56,0.33,0.42,0.53,0.55,0.6
cme.csv,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.02,0.04,0.0,0.0,0.0,0.0,0.0,1.0
emite.csv,0.91,0.5,0.36,0.2,0.52,0.25,0.32,0.18,0.22,0.17,0.33,0.68,0.35,0.26,0.4
fluent-nhibernate.csv,0.0,0.29,0.43,0.3,0.71,0.25,0.46,0.24,0.74,0.42,0.0,0.52,0.94,0.45,0.0
lamp.csv,0.41,0.64,0.34,0.65,1.0,0.83,0.98,0.53,0.7,0.69,1.0,0.23,0.82,0.77,0.8
mecat.csv,0.0,0.07,0.07,0.0,0.1,0.17,0.0,0.13,0.0,0.36,1.0,0.0,0.24,0.0,0.8
nodal.csv,0.01,0.29,0.43,0.5,0.62,0.58,0.06,0.35,0.65,0.75,0.67,0.19,0.71,0.63,0.6
pydev.csv,0.67,0.5,0.34,0.55,0.95,0.42,0.22,0.73,0.39,0.64,1.0,0.13,0.82,0.65,0.8
retromenu.csv,0.72,0.5,0.48,0.3,0.76,0.58,0.16,0.18,0.3,0.22,0.0,0.23,0.59,0.12,0.0
smbopensoft.csv,0.82,1.0,0.77,0.5,0.38,0.25,0.69,0.25,0.35,0.42,0.0,0.81,0.18,0.65,0.6
stuproa-cims.csv,0.0,0.14,0.41,0.4,0.81,0.25,0.02,0.51,0.43,0.42,1.0,0.29,0.76,0.77,0.6
thout.csv,0.33,0.93,0.61,0.35,0.52,1.0,0.98,0.78,1.0,0.44,0.67,0.84,0.94,0.7,0.4
uface.csv,1.0,1.0,0.91,0.85,1.0,0.83,0.99,0.62,0.57,0.58,1.0,0.71,0.94,0.92,1.0
