,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv,fluent-nhibernate.csv,uface.csv,cme.csv
boost-sandbox.csv,0.03,0.71,0.22,0.43,0.53,0.54,0.44,0.57,0.89,0.67,0.25,0.82,0.21,0.52,0.52
bscwweasel.csv,0.01,0.04,0.25,0.2,0.31,0.23,0.44,0.61,0.22,0.45,0.28,0.3,0.16,0.11,0.29
capcode.csv,0.01,0.81,0.66,0.8,0.31,0.25,0.41,0.19,0.3,0.35,0.35,0.48,0.17,0.24,0.87
cme.csv,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02
emite.csv,0.75,0.59,0.18,0.2,0.36,0.42,0.33,0.19,0.08,0.13,0.08,0.35,0.27,0.07,0.25
fluent-nhibernate.csv,0.0,0.16,0.14,0.07,0.33,0.14,0.26,0.23,0.51,0.38,0.22,0.32,0.19,0.19,0.1
lamp.csv,0.59,0.19,0.12,0.57,0.93,0.79,1.0,0.26,0.51,0.42,0.98,0.22,0.38,0.67,0.56
mecat.csv,0.01,0.02,0.01,0.06,0.04,0.17,0.0,0.06,0.0,0.07,0.12,0.0,0.05,0.04,0.29
nodal.csv,0.0,0.22,0.15,0.4,0.69,0.39,0.03,0.19,0.14,0.55,0.52,0.12,0.22,0.13,0.58
pydev.csv,0.54,0.17,0.15,0.3,0.4,0.45,0.23,0.75,0.35,0.23,0.53,0.05,0.56,0.5,0.42
retromenu.csv,0.55,0.22,0.2,0.2,0.18,0.45,0.08,0.32,0.14,0.03,0.25,0.08,0.5,0.0,0.13
smbopensoft.csv,0.23,0.97,0.88,0.63,0.71,0.31,0.62,0.42,0.22,0.65,0.28,0.72,0.14,0.22,0.63
stuproa-cims.csv,0.01,0.02,0.15,0.17,0.53,0.13,0.05,0.16,0.54,0.25,0.43,0.18,0.21,0.46,0.42
thout.csv,0.28,0.99,0.2,0.13,0.6,0.92,0.9,0.89,0.92,0.51,0.87,0.88,0.57,0.52,0.21
uface.csv,1.0,1.0,0.88,0.49,0.73,0.68,1.0,0.64,0.54,0.48,0.72,0.57,0.61,0.04,0.92
