,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv,fluent-nhibernate.csv,uface.csv,cme.csv
boost-sandbox.csv,0.62,0.09,0.42,0.16,0.4,0.16,0.82,0.27,0.28,0.35,0.06,0.48,0.27,0.78,0.16
bscwweasel.csv,0.67,0.17,0.37,0.33,0.46,0.24,0.72,0.26,0.39,0.38,0.06,0.33,0.26,0.91,0.17
capcode.csv,0.67,0.11,0.27,0.13,0.42,0.33,0.75,0.38,0.47,0.45,0.05,0.41,0.24,0.82,0.06
cme.csv,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.83
emite.csv,0.54,0.08,0.38,0.12,0.41,0.09,0.73,0.26,0.5,0.4,0.17,0.6,0.12,0.88,0.13
fluent-nhibernate.csv,0.0,0.17,0.48,0.38,0.5,0.23,0.83,0.27,0.35,0.37,0.0,0.55,0.33,0.83,0.0
lamp.csv,0.4,0.26,0.47,0.14,0.33,0.15,0.73,0.43,0.33,0.46,0.05,0.44,0.18,0.7,0.12
mecat.csv,0.0,0.25,0.75,0.0,0.5,0.14,0.0,0.44,0.0,0.72,0.3,0.0,0.31,0.0,0.21
nodal.csv,1.0,0.12,0.46,0.15,0.3,0.2,0.88,0.4,0.62,0.42,0.06,0.55,0.25,0.91,0.09
pydev.csv,0.55,0.24,0.41,0.21,0.53,0.14,0.73,0.26,0.29,0.59,0.09,0.67,0.13,0.72,0.15
retromenu.csv,0.56,0.2,0.42,0.17,0.67,0.18,0.85,0.17,0.44,0.8,0.0,0.7,0.11,1.0,0.0
smbopensoft.csv,0.78,0.1,0.21,0.1,0.2,0.12,0.76,0.18,0.36,0.25,0.0,0.46,0.12,0.85,0.08
stuproa-cims.csv,0.0,0.5,0.45,0.25,0.41,0.25,0.5,0.54,0.23,0.47,0.1,0.56,0.27,0.77,0.12
thout.csv,0.52,0.09,0.47,0.28,0.29,0.16,0.75,0.24,0.28,0.31,0.04,0.43,0.14,0.73,0.15
uface.csv,0.49,0.1,0.24,0.2,0.39,0.17,0.73,0.26,0.28,0.39,0.07,0.49,0.14,0.98,0.09
