,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,trinitycore.csv,zemljanka.csv
atlc.csv,0.31,0.51,0.99,0.12,0.76,0.32,0.63,0.23,0.41,0.71
pclasses.csv,0.95,0.29,0.0,0.5,0.07,0.0,0.22,0.0,0.11,0.01
pfaedit.csv,0.0,0.63,0.71,0.08,0.98,0.2,0.48,0.24,0.37,0.83
theresa.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
thrust.csv,0.0,0.22,0.59,0.18,0.7,0.97,0.13,0.23,0.31,0.57
tktoolkit.csv,0.21,0.26,0.25,0.12,0.51,0.52,0.17,0.9,0.2,0.28
trinitycore.csv,0.21,0.15,0.43,0.11,0.48,0.24,0.18,0.3,0.95,0.55
tzod.csv,0.27,0.94,0.7,0.29,0.75,0.0,0.45,0.24,0.34,0.63
yaprm.csv,0.26,0.26,0.29,0.14,0.61,0.31,0.96,0.09,0.39,0.64
zemljanka.csv,0.29,0.53,0.73,0.11,0.76,0.45,0.67,0.23,0.4,1.0
