,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,trinitycore.csv,zemljanka.csv
atlc.csv,1.0,3.0,0.0,43.0,6.0,4.0,0.0,2.0,12.0,0.0
pclasses.csv,0.0,3.0,69.0,2.0,0.0,63.0,1.0,177.0,5.0,1.0
pfaedit.csv,66.0,4.0,0.0,21.0,0.0,1.0,1.0,2.0,5.0,0.0
theresa.csv,66.0,74.0,69.0,0.0,88.0,63.0,74.0,177.0,223.0,210.0
thrust.csv,66.0,3.0,1.0,27.0,1.0,0.0,0.0,13.0,16.0,0.0
tktoolkit.csv,1.0,6.0,0.0,12.0,8.0,5.0,0.0,0.0,11.0,0.0
trinitycore.csv,4.0,9.0,1.0,13.0,1.0,3.0,0.0,7.0,0.0,1.0
tzod.csv,0.0,0.0,0.0,3.0,1.0,63.0,0.0,2.0,7.0,1.0
yaprm.csv,1.0,2.0,0.0,10.0,0.0,10.0,0.0,4.0,13.0,0.0
zemljanka.csv,1.0,4.0,0.0,48.0,0.0,0.0,0.0,3.0,14.0,0.0
