,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,trinitycore.csv,zemljanka.csv
atlc.csv,0.82,0.59,0.98,1.0,0.87,0.47,0.89,0.83,0.75,0.56
pclasses.csv,0.91,0.22,0.0,0.67,0.04,0.0,0.14,0.0,0.07,0.0
pfaedit.csv,0.0,0.85,0.68,0.33,0.96,0.12,0.49,0.7,0.56,0.73
theresa.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
thrust.csv,0.0,0.15,0.54,1.0,0.81,1.0,0.08,0.39,0.35,0.41
tktoolkit.csv,0.45,0.19,0.15,0.33,0.48,0.88,0.11,0.83,0.2,0.17
trinitycore.csv,0.18,0.11,0.29,0.33,0.35,0.18,0.11,0.43,0.93,0.39
tzod.csv,0.18,0.93,0.71,0.33,0.78,0.0,0.41,0.65,0.47,0.47
yaprm.csv,0.36,0.19,0.24,0.33,0.59,0.47,0.95,0.09,0.42,0.47
zemljanka.csv,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0
