,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,trinitycore.csv,zemljanka.csv
atlc.csv,0.7,0.58,0.02,0.88,0.64,0.75,0.9,0.8,0.67,0.55
pclasses.csv,0.09,0.8,1.0,0.34,0.96,1.0,0.87,1.0,0.93,1.0
pfaedit.csv,1.0,0.5,0.47,0.8,0.04,0.88,0.74,0.7,0.66,0.82
theresa.csv,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
thrust.csv,1.06,0.86,0.6,0.56,0.82,0.02,0.93,0.67,0.71,0.68
tktoolkit.csv,0.79,0.83,0.85,0.71,0.79,0.57,0.91,0.17,0.84,0.9
trinitycore.csv,0.83,0.91,0.71,0.72,0.67,0.83,0.9,0.6,0.07,0.65
tzod.csv,0.82,0.08,0.54,0.67,0.51,1.0,0.7,0.67,0.67,0.63
yaprm.csv,0.7,0.82,0.98,0.7,0.68,0.78,0.06,0.92,0.63,0.53
zemljanka.csv,0.98,1.0,1.0,0.98,0.97,0.87,0.95,0.99,0.99,0.11
