,gtad.csv,wgs-assembler.csv,nh3d.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,tokratan.csv,mvnforum.csv,myfaces.csv,ogrehg.csv,m-a-d-n-e-s-s.csv,lcfizvtop.csv,gusanos.csv,pydev.csv,mediaportal.csv,free-evolution.csv,pnotepad.csv,cme.csv
blogentis.csv,0.89,0.44,0.6,0.61,0.75,0.74,0.47,0.79,0.74,0.47,0.82,0.66,0.77,0.73,0.85,0.45,0.51,0.69,0.57,0.53
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
free-evolution.csv,0.55,0.44,0.97,0.88,0.93,0.66,0.86,0.55,0.86,0.58,0.74,0.78,0.92,0.78,0.76,0.94,0.81,0.84,0.86,0.46
gtad.csv,0.5,0.86,0.91,0.0,0.83,0.83,0.0,0.86,0.92,0.86,0.97,0.92,0.75,0.0,0.0,0.92,0.99,0.0,0.5,0.7
gusanos.csv,0.45,0.63,0.41,0.43,0.53,0.38,0.5,0.45,0.49,0.34,0.42,0.48,0.45,0.45,0.41,0.35,0.4,0.46,0.49,0.35
kaffeine.csv,0.36,0.32,0.51,0.4,0.87,0.62,0.51,0.38,0.62,0.52,0.43,0.46,0.41,0.39,0.4,0.31,0.39,0.46,0.4,0.35
lcfizvtop.csv,0.55,0.45,0.95,0.42,0.93,0.93,0.6,0.7,0.95,0.91,0.98,0.57,0.66,0.9,0.89,0.49,0.56,0.71,0.75,0.71
m-a-d-n-e-s-s.csv,0.52,0.75,0.83,0.73,0.89,0.63,0.64,0.86,0.94,0.86,0.84,0.6,0.65,0.83,0.67,0.77,0.86,0.61,0.82,0.44
m-m-m.csv,0.44,0.65,0.53,0.41,0.44,0.38,0.65,0.4,0.42,0.35,0.42,0.53,0.58,0.39,0.43,0.42,0.45,0.49,0.5,0.42
mediaportal.csv,0.67,0.93,0.0,0.89,0.42,0.44,0.84,0.87,0.44,0.42,0.81,0.95,0.86,0.0,0.8,0.41,0.96,0.0,0.0,0.86
mvnforum.csv,0.89,0.92,0.97,0.91,0.97,0.8,0.0,0.7,0.97,0.81,0.92,0.97,0.9,0.0,0.92,0.89,0.97,0.0,0.67,0.83
myfaces.csv,0.4,0.33,0.51,0.44,0.46,0.44,0.67,0.71,0.47,0.39,0.98,0.55,0.43,0.41,0.8,0.42,0.42,0.48,0.41,0.57
nh3d.csv,0.0,0.0,0.75,0.83,0.93,0.88,0.0,0.8,0.92,0.9,0.98,0.97,0.8,0.8,0.8,0.86,0.97,0.75,0.89,0.67
ogrehg.csv,0.49,0.39,0.55,0.45,0.77,0.61,0.86,0.45,0.69,0.63,0.6,0.66,0.54,0.53,0.55,0.8,0.58,0.53,0.59,0.52
pnotepad.csv,0.34,0.29,0.5,0.38,0.4,0.37,0.52,0.39,0.41,0.3,0.42,0.41,0.36,0.44,0.4,0.34,0.34,0.45,0.4,0.39
pydev.csv,0.91,0.47,0.38,0.62,0.83,0.7,0.6,0.65,0.95,0.64,0.95,0.59,0.8,0.58,0.56,0.61,0.62,0.72,0.56,0.4
sarasvati.csv,0.88,0.0,0.0,0.67,0.9,0.0,0.86,0.67,0.88,0.5,0.96,0.97,0.86,0.9,0.9,0.79,0.84,0.89,0.0,0.69
taokgame.csv,0.61,0.0,0.0,0.8,0.94,0.59,0.0,0.9,0.75,0.74,0.7,0.75,0.89,0.69,0.92,0.94,0.98,0.69,0.88,0.89
tokratan.csv,0.5,0.44,0.83,0.64,0.75,0.92,0.0,0.9,0.92,0.92,0.98,0.87,0.58,0.65,0.5,0.93,0.97,0.71,0.88,0.41
wgs-assembler.csv,0.89,0.64,0.78,0.88,0.97,0.77,0.88,0.95,0.88,0.79,0.78,0.8,0.93,0.83,0.83,0.79,0.71,0.74,0.67,0.61
