,gtad.csv,wgs-assembler.csv,nh3d.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,tokratan.csv,mvnforum.csv,myfaces.csv,ogrehg.csv,m-a-d-n-e-s-s.csv,lcfizvtop.csv,gusanos.csv,pydev.csv,mediaportal.csv,free-evolution.csv,pnotepad.csv,cme.csv
blogentis.csv,0.18,0.45,0.02,0.71,0.06,0.98,0.49,0.06,0.14,0.36,0.28,0.47,0.17,0.15,0.37,0.55,0.32,0.25,0.64,0.0
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
free-evolution.csv,0.05,0.45,0.0,0.28,0.0,0.4,0.24,0.07,0.09,0.38,0.25,0.37,0.11,0.3,0.42,0.37,0.34,0.97,0.39,0.18
gtad.csv,1.0,0.17,0.0,0.04,0.35,0.13,0.0,0.0,0.21,0.16,0.49,0.11,0.28,0.0,0.03,0.29,0.31,0.0,0.08,0.0
gusanos.csv,0.09,0.46,0.02,0.84,0.18,0.38,0.29,0.24,0.25,0.43,0.31,0.55,0.47,0.39,0.99,0.52,0.37,0.36,0.7,0.21
kaffeine.csv,0.03,0.53,0.02,0.97,0.18,0.46,0.7,0.21,0.25,0.28,0.29,0.56,0.46,0.31,0.84,0.55,0.32,0.37,0.91,0.18
lcfizvtop.csv,0.12,0.5,0.0,0.76,0.08,0.11,0.3,0.16,0.16,0.48,0.13,0.42,0.2,0.95,0.18,0.43,0.3,0.27,0.56,0.27
m-a-d-n-e-s-s.csv,0.17,0.32,0.0,0.37,0.2,0.34,0.32,0.0,0.06,0.08,0.25,0.38,0.96,0.35,0.35,0.48,0.29,0.26,0.31,0.0
m-m-m.csv,0.04,0.38,0.02,0.91,0.14,0.4,0.98,0.15,0.21,0.41,0.24,0.58,0.52,0.29,0.78,0.5,0.36,0.33,0.74,0.1
mediaportal.csv,0.0,0.19,0.0,0.14,0.1,0.33,0.72,0.18,0.17,0.44,0.12,0.15,0.12,0.0,0.14,0.43,0.85,0.0,0.04,0.0
mvnforum.csv,0.18,0.12,0.0,0.23,0.0,0.26,0.0,0.38,0.13,0.94,0.1,0.06,0.11,0.17,0.2,0.18,0.1,0.06,0.04,0.36
myfaces.csv,0.06,0.54,0.02,0.85,0.08,0.37,0.74,0.06,0.16,0.39,0.92,0.41,0.41,0.3,0.41,0.48,0.29,0.35,0.86,0.21
nh3d.csv,0.0,0.0,1.0,0.22,0.32,0.31,0.0,0.27,0.22,0.21,0.14,0.36,0.27,0.13,0.14,0.19,0.26,0.16,0.32,0.0
ogrehg.csv,0.0,0.57,0.02,0.81,0.2,0.33,0.24,0.21,0.37,0.31,0.22,0.94,0.41,0.3,0.55,0.39,0.28,0.32,0.59,0.15
pnotepad.csv,0.07,0.52,0.02,0.74,0.15,0.44,0.85,0.2,0.25,0.45,0.25,0.59,0.48,0.36,0.78,0.56,0.33,0.38,0.99,0.16
pydev.csv,0.0,0.46,0.02,0.42,0.2,0.33,0.26,0.07,0.29,0.25,0.23,0.46,0.4,0.26,0.41,1.0,0.43,0.28,0.5,0.27
sarasvati.csv,0.2,0.05,0.0,0.12,0.95,0.0,0.17,0.31,0.09,0.1,0.24,0.22,0.0,0.19,0.1,0.38,0.22,0.14,0.0,0.44
taokgame.csv,0.08,0.0,0.0,0.34,0.1,0.16,0.04,1.0,0.14,0.22,0.17,0.5,0.35,0.17,0.3,0.26,0.11,0.35,0.29,0.0
tokratan.csv,0.08,0.47,0.2,0.51,0.0,0.33,0.04,0.0,0.93,0.07,0.31,0.35,0.41,0.16,0.0,0.32,0.18,0.26,0.25,0.15
wgs-assembler.csv,0.0,1.0,0.07,0.18,0.09,0.22,0.2,0.07,0.08,0.31,0.31,0.34,0.26,0.35,0.4,0.38,0.33,0.18,0.37,0.0
