,gtad.csv,wgs-assembler.csv,nh3d.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,tokratan.csv,mvnforum.csv,myfaces.csv,ogrehg.csv,m-a-d-n-e-s-s.csv,lcfizvtop.csv,gusanos.csv,pydev.csv,mediaportal.csv,free-evolution.csv,pnotepad.csv,cme.csv
blogentis.csv,0.11,0.35,0.01,0.83,0.03,1.0,0.89,0.04,0.1,0.28,0.24,0.38,0.18,0.1,0.49,0.47,0.21,0.17,0.73,0.0
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
free-evolution.csv,0.03,0.36,0.0,1.0,0.0,0.32,1.0,0.04,0.14,0.33,0.18,0.51,0.15,0.33,0.59,0.56,0.34,1.0,0.86,0.1
gtad.csv,1.0,0.57,0.0,1.0,0.5,0.33,0.0,0.0,0.23,0.29,0.59,0.62,1.0,0.0,1.0,0.58,0.4,0.0,1.0,0.0
gusanos.csv,0.05,0.44,0.01,0.82,0.1,0.27,0.75,0.14,0.15,0.29,0.19,0.45,0.35,0.25,1.0,0.39,0.26,0.24,0.83,0.12
kaffeine.csv,0.01,0.36,0.01,0.98,0.13,0.46,0.78,0.11,0.17,0.24,0.17,0.4,0.31,0.19,0.76,0.39,0.2,0.23,0.83,0.1
lcfizvtop.csv,0.06,0.38,0.0,0.87,0.07,0.14,0.9,0.11,0.14,0.64,0.12,0.39,0.17,1.0,0.78,0.32,0.22,0.26,0.83,0.18
m-a-d-n-e-s-s.csv,0.1,0.42,0.0,1.0,0.22,0.27,0.91,0.0,0.06,0.14,0.2,0.54,1.0,0.5,0.83,0.64,0.31,0.29,0.82,0.0
m-m-m.csv,0.02,0.38,0.01,0.87,0.08,0.25,1.0,0.08,0.12,0.27,0.13,0.43,0.45,0.18,0.75,0.39,0.25,0.21,0.86,0.06
mediaportal.csv,0.0,0.33,0.0,0.44,0.05,0.21,0.84,0.13,0.09,0.31,0.07,0.55,0.29,0.0,1.0,0.3,0.92,0.0,1.0,0.0
mvnforum.csv,0.11,0.23,0.0,0.64,0.0,0.23,0.0,0.26,0.1,1.0,0.25,0.17,0.2,1.0,0.67,0.44,0.2,1.0,0.33,0.33
myfaces.csv,0.03,0.37,0.01,0.8,0.04,0.24,0.81,0.04,0.09,0.27,0.96,0.32,0.27,0.18,0.55,0.35,0.18,0.22,0.81,0.14
nh3d.csv,0.0,0.0,1.0,1.0,0.29,0.62,0.0,0.4,0.25,0.3,0.14,0.84,0.8,0.2,1.0,0.57,0.54,0.75,1.0,0.0
ogrehg.csv,0.0,0.45,0.01,0.9,0.13,0.29,1.0,0.13,0.26,0.26,0.14,0.98,0.33,0.19,0.71,0.43,0.19,0.22,0.81,0.1
pnotepad.csv,0.03,0.36,0.01,0.94,0.08,0.28,0.89,0.11,0.14,0.3,0.14,0.46,0.33,0.24,0.69,0.4,0.2,0.26,1.0,0.09
pydev.csv,0.0,0.45,0.01,1.0,0.14,0.3,0.8,0.05,0.26,0.29,0.2,0.54,0.53,0.25,0.76,1.0,0.37,0.32,1.0,0.16
sarasvati.csv,0.12,1.0,0.0,1.0,1.0,0.0,0.71,0.67,0.12,0.5,0.35,0.53,0.0,0.15,0.4,0.36,0.17,0.33,0.0,0.31
taokgame.csv,0.04,0.0,0.0,1.0,0.06,0.14,1.0,1.0,0.09,0.21,0.11,0.64,0.67,0.15,1.0,0.41,0.18,0.38,1.0,0.0
tokratan.csv,0.04,0.4,0.17,0.82,0.0,0.5,1.0,0.0,1.0,0.08,0.31,0.68,0.36,0.12,0.0,0.57,0.36,0.29,0.88,0.09
wgs-assembler.csv,0.0,1.0,0.04,0.62,0.06,0.2,0.75,0.05,0.06,0.36,0.25,0.42,0.36,0.33,0.78,0.43,0.3,0.16,0.92,0.0
