,jmoney.csv,array4j.csv,jsidplay2.csv,pustefix.csv,jmonkeyengine.csv,mediate.csv,matrex.csv,freedom-erp.csv,reaper3d.csv,jchassis.csv,mesa3d.csv,emono.csv
array4j.csv,190.0,613.5,99.0,98.5,194.0,392.0,99.0,680.0,1833.5,1528.5,197.5,196.0
emono.csv,221.5,1879.0,98.5,98.5,376.0,392.0,99.0,680.0,2327.5,2397.5,197.5,295.0
freedom-erp.csv,84.5,580.5,99.0,1260.0,412.0,95.5,54.5,95.5,0.0,180.5,346.5,295.0
jchassis.csv,0.0,0.0,45.5,0.0,0.0,93.5,44.5,0.0,0.0,270.0,0.0,0.0
jmoney.csv,97.5,703.0,95.5,98.5,593.5,95.5,86.5,388.5,1429.5,523.0,772.0,295.0
jmonkeyengine.csv,94.5,1872.0,244.0,98.5,374.0,392.0,294.5,660.0,3773.5,2397.5,99.0,295.0
jsidplay2.csv,97.5,143.0,99.0,213.5,194.0,168.0,265.5,682.0,1282.0,242.5,99.0,94.5
matrex.csv,97.5,396.5,98.5,79.5,162.0,172.0,86.5,89.5,409.0,69.5,182.0,97.5
mediate.csv,97.5,1879.0,95.5,98.5,96.5,293.5,99.0,482.0,1996.0,2160.0,0.0,95.5
mesa3d.csv,94.5,938.5,89.5,98.5,244.5,390.0,599.5,390.5,1936.5,581.5,385.0,295.0
pustefix.csv,190.0,335.0,50.5,440.0,194.0,283.0,453.5,484.0,2426.5,1385.0,99.0,97.5
reaper3d.csv,97.5,975.0,97.5,98.5,340.0,95.5,99.0,191.5,1496.5,390.0,91.5,95.5
