,hatari.csv,nullc.csv,superwaba.csv,lmms.csv,etherboot.csv,vienna-add-in.csv,voms.csv,tycho.csv,fityk.csv,mecat.csv,wsmt.csv,oscarmcmaster.csv
etherboot.csv,0.58,0.5,0.42,0.42,0.95,0.39,0.23,0.3,0.44,0.0,0.67,0.22
fityk.csv,0.45,0.51,0.54,0.65,0.19,0.52,0.26,0.05,0.99,0.16,0.7,0.33
hatari.csv,0.98,0.32,0.46,0.5,0.38,0.5,0.29,0.15,0.57,0.12,0.32,0.38
lmms.csv,0.61,0.78,0.45,0.99,0.39,0.43,0.26,0.7,0.72,0.09,0.26,0.29
mecat.csv,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08
nullc.csv,0.56,0.99,0.51,0.76,0.42,0.79,0.2,0.74,0.8,0.12,0.28,0.36
oscarmcmaster.csv,0.39,0.39,0.57,0.16,0.33,0.23,0.29,0.58,0.04,0.22,0.49,0.86
superwaba.csv,0.33,0.4,0.99,0.41,0.24,0.38,0.3,0.61,0.52,0.15,0.71,0.33
tycho.csv,0.53,0.36,0.56,0.45,0.27,0.35,0.38,1.0,0.47,0.29,0.0,0.42
vienna-add-in.csv,0.62,0.9,0.55,0.73,0.41,0.99,0.22,0.69,0.74,0.06,0.61,0.36
voms.csv,0.0,0.0,0.44,0.11,0.0,0.13,1.0,0.0,0.04,0.4,0.11,0.14
wsmt.csv,0.0,0.24,0.18,0.15,0.19,0.29,0.0,0.2,0.04,0.0,0.97,0.21
