,hatari.csv,nullc.csv,superwaba.csv,lmms.csv,etherboot.csv,vienna-add-in.csv,voms.csv,tycho.csv,fityk.csv,mecat.csv,wsmt.csv,oscarmcmaster.csv
etherboot.csv,0.76,0.38,0.34,0.3,0.91,0.27,0.33,0.23,0.32,0.0,0.8,0.34
fityk.csv,0.38,0.36,0.66,0.66,0.18,0.47,0.67,0.03,0.98,0.67,0.91,0.53
hatari.csv,0.97,0.2,0.62,0.4,0.64,0.4,1.0,0.09,0.45,0.67,0.26,0.53
lmms.csv,0.76,0.72,0.38,0.99,0.59,0.31,0.67,0.69,0.75,0.67,0.23,0.45
mecat.csv,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.04
nullc.csv,0.79,0.98,0.94,0.89,1.0,0.98,0.89,1.0,1.0,1.0,0.23,0.62
oscarmcmaster.csv,0.31,0.24,0.62,0.09,0.32,0.13,0.22,0.43,0.02,0.33,0.51,0.77
superwaba.csv,0.31,0.26,0.98,0.29,0.23,0.28,0.44,0.51,0.39,1.0,0.83,0.49
tycho.csv,0.48,0.22,0.58,0.32,0.27,0.23,0.33,1.0,0.34,1.0,0.0,0.38
vienna-add-in.csv,1.0,1.0,0.82,0.87,0.95,0.99,1.0,0.83,0.84,0.67,0.71,0.68
voms.csv,0.0,0.0,0.42,0.06,0.0,0.07,1.0,0.0,0.02,0.33,0.06,0.09
wsmt.csv,0.0,0.14,0.1,0.08,0.14,0.18,0.0,0.11,0.02,0.0,0.97,0.19
