,hatari.csv,nullc.csv,superwaba.csv,lmms.csv,etherboot.csv,vienna-add-in.csv,voms.csv,tycho.csv,fityk.csv,mecat.csv,wsmt.csv,oscarmcmaster.csv
etherboot.csv,0.69,0.64,0.15,0.23,0.0,0.22,0.21,0.39,0.27,0.35,0.67,0.46
fityk.csv,0.25,0.18,0.42,0.68,0.28,0.66,0.48,0.11,0.0,0.33,0.8,0.45
hatari.csv,0.0,0.18,0.59,0.34,0.62,0.39,0.68,0.04,0.27,0.48,0.4,0.33
lmms.csv,0.58,0.55,0.17,0.01,0.51,0.32,0.47,0.36,0.68,0.63,0.6,0.44
mecat.csv,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nullc.csv,0.83,0.0,0.97,0.82,1.0,0.98,0.98,0.86,1.0,0.77,0.5,0.47
oscarmcmaster.csv,0.22,0.0,0.3,0.04,0.21,0.05,0.05,0.07,0.05,0.08,0.7,0.01
superwaba.csv,0.47,0.18,0.0,0.21,0.25,0.37,0.21,0.21,0.23,0.58,0.6,0.38
tycho.csv,0.28,0.0,0.27,0.18,0.26,0.17,0.06,0.0,0.23,0.25,0.07,0.12
vienna-add-in.csv,1.0,1.0,0.62,0.93,0.98,0.02,0.97,0.71,0.86,0.97,0.73,0.56
voms.csv,0.0,0.0,0.26,0.0,0.0,0.02,0.0,0.14,0.0,0.02,0.03,0.03
wsmt.csv,0.08,0.09,0.02,0.01,0.11,0.15,0.02,0.07,0.05,0.17,0.03,0.17
