,paintown.csv,triplea.csv,fbmanager.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,itext.csv,powerfolder.csv,fido.csv,megameknet.csv,fityk.csv,fleet-simulator.csv,hibernate.csv,geogebra.csv,duplicati.csv,xamj.csv
botsnscouts.csv,0.94,0.6,0.8,0.39,0.92,0.44,0.65,0.96,0.93,0.43,0.9,0.91,0.76,0.75,0.59,0.98,0.61,0.65,0.74
fbmanager.csv,0.68,0.85,0.48,0.43,0.81,0.67,0.5,0.98,0.67,0.61,0.69,0.73,0.85,0.68,0.67,0.79,0.58,0.83,0.74
fido.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.5,0.0,0.0,0.0
fityk.csv,0.67,0.41,0.38,0.42,0.7,0.46,0.47,0.64,0.57,0.56,0.62,0.95,0.55,0.44,0.54,0.7,0.53,0.35,0.55
fleet-simulator.csv,0.44,0.31,0.37,0.33,0.36,0.34,0.33,0.39,0.43,0.4,0.31,0.34,0.43,0.33,0.3,0.39,0.41,0.31,0.42
freenet.csv,0.57,0.34,0.43,0.43,0.51,0.38,0.45,0.56,0.48,0.5,0.42,0.57,0.57,0.4,0.45,0.63,0.6,0.44,0.58
geogebra.csv,0.89,0.55,0.88,0.4,0.41,0.67,0.47,0.61,0.93,0.45,0.41,0.35,0.61,0.85,0.31,0.49,0.76,0.46,0.51
google-caja.csv,0.49,0.48,0.34,0.35,0.38,0.33,0.34,0.49,0.62,0.77,0.43,0.35,0.48,0.31,0.42,0.42,0.57,0.53,0.45
hibernate.csv,0.7,0.47,0.89,0.64,0.65,0.62,0.64,0.59,0.82,0.61,0.55,0.94,0.83,0.83,0.48,0.75,0.59,0.43,0.71
itext.csv,0.61,0.43,0.72,0.38,0.57,0.52,0.44,0.49,0.65,0.44,0.7,0.93,0.53,0.71,0.86,0.65,0.48,0.56,0.54
k3b.csv,0.41,0.28,0.36,0.41,0.55,0.35,0.36,0.46,0.45,0.39,0.46,0.78,0.48,0.37,0.89,0.54,0.39,0.37,0.48
megameknet.csv,0.58,0.33,0.92,0.5,0.59,0.63,0.5,0.59,0.58,0.49,0.64,0.38,0.71,0.62,0.48,0.7,0.59,0.36,0.59
myfaces.csv,0.45,0.42,0.43,0.4,0.44,0.38,0.41,0.98,0.43,0.43,0.38,0.38,0.54,0.37,0.36,0.47,0.43,0.65,0.52
onotoa.csv,0.52,0.46,0.62,0.47,0.39,0.39,0.44,0.56,0.56,0.42,0.58,0.33,0.55,0.42,0.48,0.55,0.53,0.47,0.58
paintown.csv,0.5,0.42,0.56,0.4,0.39,0.53,0.39,0.46,0.43,0.45,0.43,0.45,0.47,0.5,0.35,0.48,0.51,0.37,0.51
powerfolder.csv,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.96,0.0,0.0,0.75,0.0,0.8,0.0,0.0,0.75,0.86,0.0,0.0
triplea.csv,0.45,0.42,0.43,0.34,0.46,0.62,0.38,0.43,0.41,0.46,0.43,0.41,0.48,0.46,0.33,0.49,0.45,0.34,0.48
xamj.csv,0.49,0.36,0.51,0.38,0.42,0.36,0.37,0.6,0.47,0.47,0.5,0.37,0.53,0.4,0.35,0.48,0.47,0.35,0.65
