,paintown.csv,triplea.csv,fbmanager.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,itext.csv,powerfolder.csv,fido.csv,megameknet.csv,fityk.csv,fleet-simulator.csv,hibernate.csv,geogebra.csv,duplicati.csv,xamj.csv
botsnscouts.csv,0.1,0.24,0.13,0.3,0.0,0.0,0.04,0.05,0.12,0.17,0.07,0.1,0.11,0.05,0.0,0.09,0.18,0.0,0.06
fbmanager.csv,0.22,0.24,0.0,0.35,0.12,0.07,0.19,0.1,0.04,0.23,0.31,0.35,0.2,0.18,0.62,0.31,0.25,0.0,0.33
fido.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fityk.csv,0.18,0.57,0.58,0.52,0.56,0.33,0.44,0.33,0.21,0.27,0.45,0.18,0.34,0.0,0.12,0.38,0.43,1.0,0.49
fleet-simulator.csv,0.68,0.57,0.52,0.85,0.75,0.7,0.59,0.67,0.58,0.7,0.8,0.87,0.55,0.68,0.0,0.64,0.63,0.0,0.6
freenet.csv,0.53,0.67,0.81,0.02,0.25,0.67,0.33,0.55,0.33,0.87,0.7,0.37,0.56,0.68,0.88,0.33,0.49,0.0,0.42
geogebra.csv,0.3,0.33,0.48,0.82,0.75,0.19,0.56,0.28,0.17,0.83,0.83,0.89,0.11,0.41,0.12,0.86,0.01,0.0,0.91
google-caja.csv,0.22,0.43,0.42,0.66,0.62,0.63,0.07,0.68,0.21,0.17,0.6,0.78,0.42,0.68,0.0,0.66,0.42,0.0,0.59
hibernate.csv,0.52,0.57,0.23,0.11,0.19,0.11,0.26,0.59,0.33,0.53,0.46,0.15,0.1,0.09,0.12,0.0,0.53,0.0,0.24
itext.csv,0.05,0.19,0.19,0.26,0.25,0.33,0.15,0.23,0.21,0.0,0.17,0.13,0.14,0.18,0.0,0.13,0.22,0.0,0.13
k3b.csv,0.44,0.86,0.61,0.35,0.25,0.63,0.56,0.45,0.0,0.43,0.43,0.2,0.75,0.5,0.0,0.21,0.52,1.0,0.19
megameknet.csv,0.74,0.71,0.13,0.33,0.38,0.3,0.26,0.33,0.62,0.9,0.43,0.72,0.0,0.41,0.88,0.36,0.43,1.0,0.26
myfaces.csv,0.95,0.62,1.0,0.89,0.69,0.89,0.93,0.01,0.83,1.0,0.94,0.83,0.89,0.82,1.0,0.93,0.93,0.0,0.92
onotoa.csv,0.73,0.33,0.55,0.69,0.0,0.7,0.63,0.73,0.54,0.13,0.58,0.92,0.86,0.73,0.12,0.75,0.71,0.0,0.8
paintown.csv,0.0,0.33,0.42,0.29,0.5,0.19,0.41,0.5,0.46,0.37,0.6,0.48,0.43,0.27,0.0,0.43,0.39,0.0,0.34
powerfolder.csv,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0
triplea.csv,0.4,0.0,0.42,0.71,0.5,0.26,0.63,0.61,0.5,0.63,0.54,0.72,0.31,0.5,0.25,0.47,0.51,0.0,0.6
xamj.csv,0.95,0.71,0.87,0.92,0.69,0.81,0.59,0.45,0.92,0.9,0.66,0.85,0.74,0.86,1.0,0.87,0.7,1.0,0.0
