,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv
all-plasm.csv,0.57,0.52,0.24,0.72,0.68,0.92,0.38,0.76,0.71,0.65,0.0,0.15
archive-crawler.csv,0.37,0.14,0.18,0.3,0.39,0.16,0.12,0.1,0.25,0.0,0.23,0.16
blue-c.csv,0.69,0.65,0.54,0.68,0.7,0.0,0.51,0.45,0.67,0.6,0.6,0.83
dynalloy.csv,0.52,0.01,0.38,0.79,0.86,0.8,0.68,0.73,0.22,0.49,0.57,0.82
jcae.csv,0.02,0.02,0.0,0.0,0.0,0.0,0.02,0.02,0.01,0.05,0.03,0.0
kmatplot.csv,0.0,0.24,0.11,0.13,0.11,0.16,0.13,0.08,0.2,0.33,0.07,0.32
mscore.csv,0.5,0.24,0.63,0.36,0.3,0.16,0.01,0.25,0.39,0.55,0.43,0.42
nosleepsoftware.csv,0.11,0.13,0.38,0.0,0.23,0.44,0.2,0.06,0.03,0.24,0.23,0.39
openmalaria.csv,0.54,0.67,0.68,0.45,0.16,0.24,0.48,0.0,0.49,0.58,0.73,0.48
popeye-chess.csv,0.49,0.4,0.52,0.32,0.02,0.32,0.16,0.27,0.3,0.36,0.77,0.52
riff-evolve.csv,0.67,0.33,0.51,0.3,0.09,0.2,0.29,0.41,0.0,0.27,0.4,0.36
virtuoso.csv,0.65,0.81,0.84,0.98,0.07,1.0,0.58,0.76,0.87,0.78,0.47,0.0
