,xharbour.csv,barracudamvc.csv,megasquirtavr.csv,openintents.csv,atomsite.csv,arsenal-1.csv,hazelcast.csv,alembik.csv,opengs.csv,fm-classic.csv,mycila.csv,bulmages.csv,jppf-project.csv,mumble.csv,bionote.csv,mevenide.csv,duplicati.csv,tweetsharp.csv
alembik.csv,0.4,0.2,0.1,0.13,0.41,0.0,0.44,0.77,0.24,0.0,0.0,0.0,0.16,0.24,0.5,0.07,0.16,0.12
arsenal-1.csv,0.93,0.9,0.5,0.48,0.27,0.67,0.09,0.14,0.0,0.67,0.1,0.43,0.8,0.28,0.5,0.86,0.19,0.33
atomsite.csv,0.77,0.95,1.0,0.91,0.59,1.0,0.84,0.95,0.98,1.0,1.0,0.67,0.78,0.84,0.88,1.0,0.83,0.62
barracudamvc.csv,0.64,0.74,0.6,0.91,1.0,1.0,1.0,0.86,1.0,0.33,1.0,0.81,0.86,1.0,1.0,0.62,1.0,1.0
bionote.csv,0.87,0.88,0.3,0.57,0.18,0.52,0.36,0.23,0.09,1.0,0.3,0.57,0.51,0.56,0.88,0.66,0.29,0.43
bulmages.csv,0.0,0.42,0.75,0.04,0.14,0.0,0.0,0.05,0.0,0.0,0.0,0.62,0.01,0.6,0.0,0.52,0.05,0.29
fm-classic.csv,0.02,0.18,0.45,0.22,0.0,0.19,0.2,0.14,0.0,1.0,0.1,0.14,0.16,0.04,0.38,0.41,0.07,0.1
hazelcast.csv,0.66,0.91,0.6,0.96,0.73,0.7,0.95,0.95,0.7,1.0,0.9,0.67,0.82,0.8,0.88,0.79,0.84,0.69
jppf-project.csv,0.52,0.53,0.8,0.74,0.23,0.96,0.67,0.27,0.19,1.0,0.6,0.48,0.75,0.4,0.62,0.79,0.12,0.4
megasquirtavr.csv,1.0,0.58,0.55,0.96,0.41,1.0,0.96,0.45,0.93,0.33,0.9,0.76,0.71,0.84,0.5,0.72,0.41,0.55
mevenide.csv,0.22,0.66,0.4,0.39,0.09,0.11,0.04,0.0,0.0,1.0,0.0,0.1,0.37,0.08,0.25,0.76,0.07,0.1
mumble.csv,0.66,0.6,0.2,0.78,0.45,0.52,0.75,0.09,0.56,0.0,0.6,0.67,0.43,0.88,0.38,0.28,0.36,0.31
mycila.csv,1.0,0.71,0.15,0.74,0.73,1.0,0.55,0.14,0.54,1.0,0.8,0.9,0.74,0.44,0.75,0.34,0.88,0.86
opengs.csv,0.67,0.51,0.3,0.17,0.68,0.44,0.38,0.73,0.76,0.67,0.2,0.57,0.08,0.76,0.5,0.24,0.76,0.5
openintents.csv,0.47,0.5,0.05,0.7,0.86,1.0,0.84,0.91,0.74,1.0,0.6,0.29,0.9,0.36,0.88,0.24,0.67,0.67
tweetsharp.csv,0.07,0.33,0.8,0.48,0.68,0.89,0.56,0.82,1.0,0.0,0.8,0.38,0.12,0.72,0.38,0.21,0.67,0.76
xharbour.csv,0.77,0.9,0.95,0.78,0.73,1.0,0.62,0.82,1.0,1.0,0.9,0.67,0.42,0.88,0.88,0.79,1.0,0.81
