,xharbour.csv,barracudamvc.csv,megasquirtavr.csv,openintents.csv,atomsite.csv,arsenal-1.csv,hazelcast.csv,alembik.csv,opengs.csv,fm-classic.csv,mycila.csv,bulmages.csv,jppf-project.csv,mumble.csv,bionote.csv,mevenide.csv,duplicati.csv,tweetsharp.csv
alembik.csv,0.9,1.0,0.67,0.38,0.43,0.0,0.96,0.65,0.62,0.0,0.0,0.0,0.94,0.67,0.4,1.0,1.0,0.62
arsenal-1.csv,0.83,0.82,0.37,0.41,0.43,0.6,1.0,0.5,0.0,0.03,0.1,0.27,0.9,0.33,0.44,0.27,1.0,0.82
atomsite.csv,0.89,0.84,0.22,0.42,0.46,0.47,0.94,0.47,0.42,0.05,0.2,0.27,0.91,0.37,0.17,0.25,0.98,0.76
barracudamvc.csv,0.76,0.93,0.18,0.45,0.32,0.47,0.85,0.38,0.41,0.02,0.2,0.18,0.92,0.28,0.14,0.19,0.98,0.75
bionote.csv,0.9,0.84,0.46,0.36,0.33,0.5,1.0,0.38,0.83,0.05,0.3,0.29,0.89,0.41,0.37,0.27,1.0,0.78
bulmages.csv,0.0,0.85,0.17,0.5,0.33,0.0,0.0,0.5,0.0,0.0,0.0,0.32,0.5,0.33,0.0,0.26,1.0,0.75
fm-classic.csv,1.0,0.86,0.32,0.28,0.0,0.62,0.92,0.6,0.0,0.33,0.14,0.27,1.0,0.2,0.33,0.67,1.0,0.57
hazelcast.csv,0.89,0.83,0.5,0.42,0.36,0.56,1.0,0.47,0.43,0.05,0.22,0.26,0.94,0.43,0.17,0.28,1.0,0.72
jppf-project.csv,0.75,0.79,0.22,0.39,0.26,0.46,0.88,0.25,0.24,0.12,0.17,0.16,0.99,0.2,0.16,0.33,1.0,0.65
megasquirtavr.csv,0.82,0.82,0.52,0.4,0.24,0.47,0.84,0.31,0.4,0.02,0.19,0.23,0.93,0.31,0.09,0.25,0.96,0.82
mevenide.csv,0.9,0.81,0.36,0.38,0.4,0.33,1.0,0.0,0.0,0.07,0.0,0.5,0.94,0.4,0.33,0.55,1.0,0.67
mumble.csv,0.9,0.93,0.57,0.38,0.31,0.39,0.87,0.29,0.39,0.0,0.46,0.25,0.98,0.65,0.12,0.19,1.0,0.68
mycila.csv,0.82,0.82,0.6,0.5,0.28,0.47,0.91,0.18,0.4,0.05,0.44,0.2,0.93,0.21,0.13,0.15,0.98,0.77
opengs.csv,0.89,0.86,0.4,0.4,0.43,0.55,0.7,0.62,0.66,0.06,0.18,0.26,0.88,0.44,0.13,0.26,0.98,0.81
openintents.csv,0.75,0.88,0.5,0.59,0.31,0.47,0.96,0.48,0.42,0.06,0.24,0.13,0.91,0.15,0.13,0.3,0.98,0.67
tweetsharp.csv,1.0,0.92,0.19,0.48,0.36,0.49,0.76,0.41,0.42,0.0,0.2,0.22,0.73,0.38,0.11,0.14,0.98,0.86
xharbour.csv,0.99,0.83,0.29,0.42,0.39,0.47,0.94,0.47,0.42,0.06,0.2,0.22,0.89,0.31,0.23,0.25,0.98,0.77
