,xharbour.csv,barracudamvc.csv,megasquirtavr.csv,openintents.csv,atomsite.csv,arsenal-1.csv,hazelcast.csv,alembik.csv,opengs.csv,fm-classic.csv,mycila.csv,bulmages.csv,jppf-project.csv,mumble.csv,bionote.csv,mevenide.csv,duplicati.csv,tweetsharp.csv
alembik.csv,0.56,0.33,0.17,0.19,0.42,0.0,0.6,0.71,0.35,0.0,0.0,0.0,0.28,0.35,0.44,0.13,0.27,0.2
arsenal-1.csv,0.88,0.86,0.43,0.44,0.33,0.63,0.17,0.21,0.0,0.06,0.1,0.33,0.85,0.3,0.47,0.41,0.32,0.47
atomsite.csv,0.83,0.89,0.35,0.58,0.52,0.64,0.88,0.63,0.59,0.09,0.33,0.38,0.84,0.51,0.29,0.4,0.9,0.68
barracudamvc.csv,0.7,0.83,0.27,0.6,0.49,0.64,0.92,0.53,0.58,0.04,0.34,0.29,0.89,0.44,0.24,0.29,0.99,0.86
bionote.csv,0.89,0.86,0.36,0.44,0.24,0.51,0.53,0.29,0.17,0.1,0.3,0.39,0.65,0.47,0.52,0.38,0.45,0.55
bulmages.csv,0.0,0.56,0.28,0.08,0.19,0.0,0.0,0.08,0.0,0.0,0.0,0.42,0.02,0.42,0.0,0.34,0.1,0.41
fm-classic.csv,0.04,0.3,0.38,0.24,0.0,0.29,0.33,0.22,0.0,0.5,0.12,0.19,0.28,0.07,0.35,0.51,0.13,0.16
hazelcast.csv,0.75,0.87,0.55,0.59,0.48,0.62,0.97,0.63,0.53,0.09,0.36,0.38,0.87,0.56,0.29,0.41,0.92,0.71
jppf-project.csv,0.61,0.64,0.34,0.51,0.24,0.63,0.76,0.26,0.21,0.21,0.27,0.24,0.85,0.27,0.25,0.47,0.22,0.5
megasquirtavr.csv,0.9,0.68,0.54,0.56,0.3,0.64,0.9,0.37,0.56,0.04,0.31,0.35,0.8,0.46,0.15,0.38,0.58,0.66
mevenide.csv,0.35,0.73,0.38,0.38,0.15,0.17,0.07,0.0,0.0,0.13,0.0,0.16,0.53,0.13,0.29,0.64,0.13,0.17
mumble.csv,0.76,0.73,0.3,0.51,0.37,0.44,0.8,0.14,0.46,0.0,0.52,0.36,0.6,0.75,0.19,0.22,0.53,0.43
mycila.csv,0.9,0.77,0.24,0.6,0.41,0.64,0.68,0.15,0.46,0.09,0.57,0.32,0.82,0.29,0.23,0.21,0.93,0.81
opengs.csv,0.76,0.64,0.34,0.24,0.53,0.49,0.49,0.67,0.71,0.11,0.19,0.36,0.14,0.56,0.21,0.25,0.85,0.62
openintents.csv,0.58,0.63,0.09,0.64,0.45,0.64,0.89,0.62,0.54,0.12,0.34,0.18,0.91,0.21,0.23,0.27,0.8,0.67
tweetsharp.csv,0.13,0.49,0.3,0.48,0.47,0.63,0.65,0.55,0.59,0.0,0.31,0.28,0.21,0.5,0.17,0.17,0.8,0.81
xharbour.csv,0.86,0.86,0.45,0.55,0.51,0.64,0.75,0.6,0.59,0.11,0.33,0.33,0.57,0.46,0.36,0.38,0.99,0.79
