,pclasses.csv,re2c.csv,thrust.csv,k3b.csv,clamav.csv,acdk.csv,kindb.csv
acdk.csv,0.21,0.53,0.27,0.46,0.29,0.79,0.73
clamav.csv,0.47,0.53,0.07,0.55,0.73,0.8,0.71
k3b.csv,0.47,0.09,0.36,0.71,0.4,0.76,0.73
kindb.csv,0.41,0.36,0.33,0.54,0.0,0.62,0.83
pclasses.csv,0.76,0.0,0.0,0.02,0.7,0.35,0.14
re2c.csv,0.21,1.0,0.07,0.42,0.29,0.27,0.04
thrust.csv,0.0,0.36,0.63,0.3,0.23,0.2,0.07
