,nova.csv,crisscross.csv,mb-unit.csv,ivatamasks.csv,ivataopenportal.csv,kolmafia.csv,olex2.csv
crisscross.csv,1.0,0.62,0.88,0.48,0.72,0.98,1.0
ivatamasks.csv,1.0,0.67,0.77,0.74,0.86,0.91,0.98
ivataopenportal.csv,1.0,1.0,0.84,0.81,0.74,0.91,1.0
kolmafia.csv,1.0,0.9,0.85,0.98,0.98,0.7,0.9
mb-unit.csv,0.15,0.38,0.7,0.97,0.84,1.0,0.55
nova.csv,0.92,0.71,0.39,0.41,0.49,0.4,0.72
olex2.csv,0.38,0.52,0.52,0.99,0.91,0.53,0.7
