,prelude.csv,trackit.csv,scite-ru.csv,gbif-indexingtoolkit.csv,co-ode-owl-plugins.csv,bl-toolkit.csv,gnukeda.csv,qlc.csv,yaprm.csv,aztec.csv,pamguard.csv,motu.csv,qdvdauthor.csv,oscarmcmaster.csv,tencompetence.csv,arm-webradio.csv
arm-webradio.csv,0.5,0.68,0.5,0.16,0.71,0.75,0.53,0.12,0.43,0.16,0.65,0.19,0.67,0.28,0.14,0.63
aztec.csv,0.6,0.81,0.33,0.24,0.08,0.8,0.67,0.33,0.5,0.23,0.77,0.28,0.67,0.22,0.67,0.4
bl-toolkit.csv,0.79,0.67,0.22,0.3,0.15,0.88,0.5,0.09,0.43,0.07,0.64,0.25,0.52,0.21,0.64,0.27
co-ode-owl-plugins.csv,0.0,0.75,0.67,0.16,0.62,0.75,0.57,0.2,0.47,0.14,0.64,0.24,0.64,0.29,0.44,0.67
gbif-indexingtoolkit.csv,0.72,0.5,0.35,0.4,0.1,0.84,0.58,0.15,0.49,0.08,0.61,0.26,0.59,0.24,0.68,0.27
gnukeda.csv,0.89,0.62,0.3,0.15,0.1,0.61,0.76,0.14,0.36,0.05,0.55,0.24,0.66,0.22,0.63,0.29
motu.csv,1.0,0.63,0.35,0.17,0.18,0.74,0.7,0.17,0.5,0.04,0.61,0.41,0.7,0.22,0.69,0.16
oscarmcmaster.csv,0.86,0.64,0.47,0.16,0.1,0.72,0.69,0.15,0.52,0.14,0.65,0.33,0.75,0.29,0.55,0.26
pamguard.csv,0.78,0.76,0.26,0.27,0.24,0.74,0.43,0.11,0.51,0.07,0.75,0.26,0.69,0.22,0.68,0.27
prelude.csv,0.97,0.5,0.36,0.17,0.12,0.66,0.54,0.15,0.48,0.06,0.65,0.22,0.73,0.22,0.65,0.26
qdvdauthor.csv,0.74,0.68,0.36,0.18,0.43,0.67,0.49,0.16,0.52,0.08,0.8,0.16,0.88,0.26,0.7,0.27
qlc.csv,0.91,0.75,0.34,0.18,0.11,0.72,0.78,0.22,0.6,0.03,0.64,0.5,0.82,0.31,0.44,0.0
scite-ru.csv,0.8,0.73,0.45,0.15,0.17,0.68,0.58,0.21,0.53,0.02,0.65,0.25,0.76,0.25,0.72,0.38
tencompetence.csv,0.93,0.83,1.0,0.22,0.14,0.5,0.56,0.1,0.52,0.01,0.63,0.5,0.56,0.14,0.83,0.03
trackit.csv,0.75,0.7,0.27,0.09,0.69,0.5,0.52,0.14,0.37,0.17,0.0,0.1,0.63,0.24,0.44,0.67
yaprm.csv,1.0,0.65,0.32,0.12,0.06,0.43,0.67,0.19,0.68,0.05,0.65,0.5,0.81,0.17,0.7,0.0
