,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,0.5,0.61,0.51,0.37,0.43,0.4,0.13,0.37,0.0,0.47
chaosrts.csv,1.0,0.64,0.98,1.0,1.0,0.77,1.0,0.98,1.0,0.0
lazarus-ccr.csv,0.5,0.0,0.07,0.71,0.09,0.26,0.13,0.12,0.15,0.37
linuxsh.csv,0.29,0.25,0.0,0.1,0.2,0.19,0.02,0.12,0.24,0.11
migen.csv,0.21,0.32,0.05,0.12,0.26,0.0,0.19,0.02,0.16,0.37
moviesandbox.csv,0.33,0.25,0.05,0.14,0.0,0.19,0.02,0.17,0.25,0.0
sauerbraten.csv,0.0,0.29,0.95,0.14,0.14,0.19,0.27,0.32,0.89,0.05
scite-ru.csv,0.46,0.86,0.11,0.26,0.09,0.67,0.02,0.19,0.18,0.74
vrjuggler.csv,0.08,0.43,0.16,0.21,0.17,0.58,0.58,0.0,0.09,0.32
xuggle.csv,0.08,0.71,0.6,0.0,0.14,0.6,0.25,0.03,0.93,0.32
