,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,0.57,0.41,0.61,0.64,0.71,0.58,0.9,0.52,0.52,0.59
chaosrts.csv,0.33,0.39,0.45,0.48,0.39,0.32,0.36,0.36,0.45,0.4
lazarus-ccr.csv,0.63,0.57,0.75,0.59,0.89,0.7,0.88,0.86,0.68,0.54
linuxsh.csv,0.48,0.77,0.9,0.98,0.63,0.74,0.5,0.88,0.95,0.79
migen.csv,0.43,0.55,0.8,0.75,0.44,0.53,0.87,0.0,0.76,0.48
moviesandbox.csv,0.36,0.71,0.75,0.82,0.49,0.55,0.5,0.92,0.82,0.92
sauerbraten.csv,0.39,0.56,0.45,0.83,0.46,0.52,0.62,0.88,0.47,0.95
scite-ru.csv,0.39,0.4,0.86,0.69,0.9,0.48,0.68,0.85,0.59,0.41
vrjuggler.csv,0.86,0.94,0.82,0.88,0.9,0.63,0.61,0.93,0.81,0.83
xuggle.csv,0.83,0.5,0.54,0.97,0.79,0.74,0.7,0.5,0.5,0.97
