,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,0.77,0.79,0.89,0.7,0.82,0.71,0.87,1.01,0.05,0.72
chaosrts.csv,1.0,0.64,0.98,1.0,1.0,0.78,1.0,0.98,1.0,0.01
lazarus-ccr.csv,0.73,0.04,1.0,0.88,0.87,0.78,0.96,1.01,0.72,0.66
linuxsh.csv,0.48,0.79,0.09,0.72,0.58,0.7,0.95,0.94,0.94,0.75
migen.csv,0.46,0.63,0.82,0.49,0.54,0.0,0.79,1.0,0.79,0.71
moviesandbox.csv,0.44,0.75,0.91,0.71,0.07,0.62,0.95,0.89,0.88,0.82
sauerbraten.csv,0.03,0.73,0.98,0.73,0.5,0.59,0.72,0.7,0.9,0.86
scite-ru.csv,0.55,0.92,0.92,0.6,0.85,0.72,0.14,0.89,0.77,0.76
vrjuggler.csv,0.88,0.94,0.83,0.77,0.93,0.79,0.85,0.12,0.76,0.73
xuggle.csv,0.9,0.87,0.66,0.2,0.81,0.89,0.71,1.0,0.94,0.83
