,g-score
moast.csv,0.0
chrysalis.csv,0.0
cortex-vfx.csv,0.07
l2j.csv,0.04
geogebra.csv,0.21
ffigo.csv,0.22
autowikibrowser.csv,0.27
duplicati.csv,0.06
gstreamer.csv,0.3
quantlib.csv,0.0
skia.csv,0.4
jruby.csv,0.07
chaosrts.csv,0.11
mplayer-ce.csv,0.37
biopax.csv,0.05
linux-ntfs.csv,0.36
growl-for-windows.csv,0.1
synecdoche.csv,0.25
rcp-company-uibindings.csv,0.02
tweetsharp.csv,0.06
elateportal.csv,0.06
sandiaportals.csv,0.13
biodwh.csv,0.1
trinitycore.csv,0.26
zemljanka.csv,0.23
tango-cs.csv,0.31
buddata-ebxml-registry.csv,0.0
javaprofiler.csv,0.15
fluent-nhibernate.csv,0.28
olex2.csv,0.16
nunit.csv,0.12
tencompetence.csv,0.05
exl.csv,0.02
nativeclient.csv,0.01
codesmith.csv,0.0
stajistics.csv,0.04
oorexx.csv,0.39
crux-framework.csv,0.38
ta3d.csv,0.3
web-cat.csv,0.29
ftm.csv,0.02
factor.csv,0.02
hydrate.csv,0.07
jfreechart.csv,0.0
elvishrayrenderer.csv,0.4
xamj.csv,0.15
uwom.csv,0.2
rocrail.csv,0.27
columba.csv,0.05
metacosm.csv,0.05
quickfast.csv,0.18
geochat.csv,0.04
natpad.csv,0.3
libarchive.csv,0.48
jcache.csv,0.25
zxing.csv,0.25
arm-webradio.csv,0.04
genoviz.csv,0.24
fulguro.csv,0.11
wikipediardware.csv,0.1
rockbox.csv,0.13
ng4j.csv,0.06
uface.csv,0.0
gisgraphy.csv,0.11
emono.csv,0.02
thedata.csv,0.29
miranda.csv,0.29
cme.csv,0.79
jmule.csv,0.0
