,d2h
moast.csv,1.0
chrysalis.csv,1.0
cortex-vfx.csv,0.94
l2j.csv,0.98
geogebra.csv,0.82
ffigo.csv,0.82
autowikibrowser.csv,0.77
duplicati.csv,0.95
gstreamer.csv,0.75
quantlib.csv,1.0
skia.csv,0.67
jruby.csv,0.94
chaosrts.csv,0.92
mplayer-ce.csv,0.74
biopax.csv,0.96
linux-ntfs.csv,0.7
growl-for-windows.csv,0.92
synecdoche.csv,0.81
rcp-company-uibindings.csv,0.98
tweetsharp.csv,0.95
elateportal.csv,0.95
sandiaportals.csv,0.89
biodwh.csv,0.92
trinitycore.csv,0.79
zemljanka.csv,0.81
tango-cs.csv,0.76
buddata-ebxml-registry.csv,1.0
javaprofiler.csv,0.88
fluent-nhibernate.csv,0.77
olex2.csv,0.87
nunit.csv,0.9
tencompetence.csv,0.96
exl.csv,0.98
nativeclient.csv,0.99
codesmith.csv,1.0
stajistics.csv,0.97
oorexx.csv,0.73
crux-framework.csv,0.67
ta3d.csv,0.77
web-cat.csv,0.86
ftm.csv,0.98
factor.csv,0.98
hydrate.csv,0.94
jfreechart.csv,1.04
elvishrayrenderer.csv,0.67
xamj.csv,0.88
uwom.csv,0.83
rocrail.csv,0.77
columba.csv,0.96
metacosm.csv,0.96
quickfast.csv,0.85
geochat.csv,0.97
natpad.csv,0.75
libarchive.csv,0.58
jcache.csv,0.79
zxing.csv,0.79
arm-webradio.csv,1.0
genoviz.csv,0.8
fulguro.csv,0.91
wikipediardware.csv,0.92
rockbox.csv,0.89
ng4j.csv,0.95
uface.csv,1.0
gisgraphy.csv,0.92
emono.csv,0.98
thedata.csv,0.75
miranda.csv,0.76
cme.csv,0.31
jmule.csv,1.0
