,f1
moast.csv,0.0
chrysalis.csv,0.0
cortex-vfx.csv,0.11
l2j.csv,0.05
geogebra.csv,0.26
ffigo.csv,0.31
autowikibrowser.csv,0.35
duplicati.csv,0.1
gstreamer.csv,0.39
quantlib.csv,0.0
skia.csv,0.43
jruby.csv,0.11
chaosrts.csv,0.16
mplayer-ce.csv,0.39
biopax.csv,0.08
linux-ntfs.csv,0.44
growl-for-windows.csv,0.15
synecdoche.csv,0.29
rcp-company-uibindings.csv,0.03
tweetsharp.csv,0.09
elateportal.csv,0.09
sandiaportals.csv,0.2
biodwh.csv,0.15
trinitycore.csv,0.29
zemljanka.csv,0.32
tango-cs.csv,0.33
buddata-ebxml-registry.csv,0.0
javaprofiler.csv,0.21
fluent-nhibernate.csv,0.27
olex2.csv,0.23
nunit.csv,0.17
tencompetence.csv,0.08
exl.csv,0.05
nativeclient.csv,0.01
codesmith.csv,0.0
stajistics.csv,0.06
oorexx.csv,0.45
crux-framework.csv,0.2
ta3d.csv,0.38
web-cat.csv,0.26
ftm.csv,0.03
factor.csv,0.05
hydrate.csv,0.11
jfreechart.csv,0.0
elvishrayrenderer.csv,0.49
xamj.csv,0.21
uwom.csv,0.29
rocrail.csv,0.33
columba.csv,0.08
metacosm.csv,0.07
quickfast.csv,0.25
geochat.csv,0.06
natpad.csv,0.38
libarchive.csv,0.55
jcache.csv,0.34
zxing.csv,0.35
arm-webradio.csv,0.03
genoviz.csv,0.29
fulguro.csv,0.13
wikipediardware.csv,0.15
rockbox.csv,0.19
ng4j.csv,0.1
uface.csv,0.0
gisgraphy.csv,0.14
emono.csv,0.05
thedata.csv,0.22
miranda.csv,0.38
cme.csv,0.38
jmule.csv,0.0
