,pci_20
moast.csv,0.0
chrysalis.csv,0.0
cortex-vfx.csv,0.9
l2j.csv,0.88
geogebra.csv,0.97
ffigo.csv,0.93
autowikibrowser.csv,0.92
duplicati.csv,0.67
gstreamer.csv,0.73
quantlib.csv,0.8
skia.csv,0.79
jruby.csv,0.86
chaosrts.csv,0.92
mplayer-ce.csv,0.61
biopax.csv,0.67
linux-ntfs.csv,0.7
growl-for-windows.csv,0.75
synecdoche.csv,0.77
rcp-company-uibindings.csv,0.75
tweetsharp.csv,0.67
elateportal.csv,0.5
sandiaportals.csv,0.83
biodwh.csv,0.0
trinitycore.csv,0.86
zemljanka.csv,0.62
tango-cs.csv,0.7
buddata-ebxml-registry.csv,0.0
javaprofiler.csv,0.9
fluent-nhibernate.csv,0.92
olex2.csv,0.89
nunit.csv,0.88
tencompetence.csv,0.88
exl.csv,0.0
nativeclient.csv,0.0
codesmith.csv,0.0
stajistics.csv,0.0
oorexx.csv,0.45
crux-framework.csv,0.86
ta3d.csv,0.5
web-cat.csv,0.53
ftm.csv,0.0
factor.csv,0.5
hydrate.csv,0.5
jfreechart.csv,0.63
elvishrayrenderer.csv,0.53
xamj.csv,0.92
uwom.csv,0.97
rocrail.csv,0.88
columba.csv,0.88
metacosm.csv,0.0
quickfast.csv,0.88
geochat.csv,0.0
natpad.csv,0.87
libarchive.csv,0.64
jcache.csv,0.86
zxing.csv,0.92
arm-webradio.csv,0.87
genoviz.csv,0.5
fulguro.csv,0.75
wikipediardware.csv,0.67
rockbox.csv,0.5
ng4j.csv,0.0
uface.csv,0.5
gisgraphy.csv,0.86
emono.csv,0.67
thedata.csv,0.8
miranda.csv,0.75
cme.csv,0.5
jmule.csv,0.0
