,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.04,0.38,0.39,0.22,0.09,0.21,0.22,0.2,0.4,0.0
empserver.csv,0.25,0.64,0.89,0.2,0.3,0.83,0.77,0.61,0.51,0.21
enlightenment.csv,1.0,1.0,1.0,0.36,1.0,1.0,1.0,1.0,1.0,1.0
ffigo.csv,0.28,0.14,0.26,0.0,0.0,0.08,0.15,0.39,0.16,0.14
ildjit.csv,0.3,0.23,0.22,0.24,0.33,0.27,0.55,0.18,0.68,0.14
jfreereport.csv,0.03,0.13,0.19,0.09,0.06,0.08,0.09,0.07,0.03,0.0
mplayer-ce.csv,0.29,0.47,0.92,0.3,0.58,0.81,0.95,0.48,0.31,0.36
psycle.csv,0.36,0.65,0.75,0.57,0.85,0.57,1.0,0.23,0.99,0.43
wikipediardware.csv,0.28,0.71,0.9,0.6,0.97,0.82,0.51,0.66,0.64,0.07
wxjs.csv,0.03,0.01,0.13,0.0,0.0,0.21,0.0,0.0,0.0,0.0
