,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,0.61,0.87,0.03,0.16,0.68,0.81,0.44,0.13,0.1,0.7,0.26
libtorrent.csv,0.77,0.41,0.07,0.3,0.75,0.95,0.6,0.13,0.25,0.88,0.41
mcmc-jags.csv,0.7,0.42,0.05,0.68,0.75,0.87,0.59,0.25,0.17,0.86,0.5
natpad.csv,0.63,0.43,0.06,0.32,0.8,0.86,0.66,0.21,0.22,0.69,0.57
nebuladevice.csv,0.8,0.25,0.0,0.25,1.0,0.85,0.43,0.0,0.38,0.85,0.0
olap-navigator.csv,0.98,0.45,0.11,0.53,0.84,1.0,0.61,0.23,0.26,0.92,0.62
pidgin.csv,0.94,0.48,0.06,0.5,0.86,0.95,0.71,0.19,0.33,0.92,0.57
salasaga.csv,0.71,0.43,0.05,0.29,0.8,0.86,0.67,0.29,0.28,0.89,0.67
sepgsql.csv,0.97,0.41,0.12,0.67,0.89,1.0,0.76,0.31,0.0,0.99,0.71
xstore.csv,0.7,0.4,0.05,1.0,0.78,0.94,0.74,0.29,0.13,0.87,0.45
xtreemfs.csv,0.79,0.48,0.05,0.29,0.72,0.86,0.57,0.14,0.09,0.94,0.42
