,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,0.63,0.1,0.68,0.5,0.5,0.78,0.61,0.98,0.63,0.62,0.55
libtorrent.csv,0.63,0.63,0.61,0.5,0.83,0.22,0.61,0.77,0.59,0.69,0.89
mcmc-jags.csv,0.48,0.7,0.79,0.14,0.69,0.61,0.71,0.27,0.7,0.74,0.59
natpad.csv,0.48,0.53,0.49,0.5,0.44,0.39,0.32,0.58,0.2,0.44,0.38
nebuladevice.csv,0.26,0.2,0.01,0.29,0.0,0.33,0.39,0.0,0.25,0.26,0.0
olap-navigator.csv,0.04,0.37,0.33,0.17,0.31,0.0,0.44,0.31,0.28,0.43,0.17
pidgin.csv,0.07,0.37,0.62,0.02,0.3,0.11,0.24,0.72,0.11,0.31,0.31
salasaga.csv,0.59,0.67,0.27,0.6,0.34,0.39,0.34,0.31,0.32,0.59,0.2
sepgsql.csv,0.04,0.33,0.3,0.05,0.19,0.0,0.17,0.18,0.01,0.05,0.11
xstore.csv,0.56,0.3,0.89,0.0,0.61,0.11,0.27,0.24,0.37,0.74,0.8
xtreemfs.csv,0.48,0.43,1.0,0.76,0.98,0.56,0.8,0.82,0.42,0.28,0.92
