,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,uface.csv
boost-sandbox.csv,0.91,0.78,0.54,0.62,0.52,0.67,0.54,0.73,0.86,0.66,0.49
bscwweasel.csv,0.98,0.93,0.52,0.48,0.56,0.62,0.76,0.64,0.71,0.68,0.42
capcode.csv,0.97,0.74,0.95,0.77,0.57,0.39,0.76,0.74,0.58,0.64,0.58
lamp.csv,0.97,0.43,0.7,0.61,0.91,0.75,0.91,0.61,0.69,0.57,0.66
nodal.csv,0.99,0.86,0.65,0.66,0.87,0.55,0.99,0.9,0.41,0.57,0.57
pydev.csv,0.51,0.87,0.62,0.64,0.65,0.72,0.89,0.76,0.6,0.38,0.48
retromenu.csv,0.94,0.55,0.66,0.76,0.26,0.75,0.81,0.88,0.63,0.73,0.78
smbopensoft.csv,0.26,0.97,0.95,0.82,0.88,0.65,0.66,0.79,0.54,0.85,0.4
stuproa-cims.csv,1.0,0.86,0.64,0.67,0.56,0.84,0.98,0.46,0.74,0.7,0.54
thout.csv,0.78,0.83,0.42,0.71,0.69,0.95,0.9,0.87,0.98,0.71,0.57
uface.csv,1.0,1.0,0.94,0.56,0.71,0.66,0.96,0.7,0.63,0.71,0.1
