,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,uface.csv
boost-sandbox.csv,0.09,0.64,0.52,0.7,0.76,0.67,0.72,0.55,0.83,0.67,0.91
bscwweasel.csv,0.02,0.07,0.59,0.55,0.57,0.42,0.33,0.55,0.3,0.67,0.61
capcode.csv,0.03,0.93,0.98,0.9,0.57,0.75,0.28,0.27,0.91,0.75,0.49
lamp.csv,0.03,0.64,0.32,0.6,1.0,0.67,0.84,0.44,0.7,0.67,0.7
nodal.csv,0.01,0.14,0.36,0.45,0.52,0.58,0.01,0.11,0.61,0.78,0.44
pydev.csv,0.58,0.14,0.41,0.75,0.95,0.83,0.21,0.62,0.52,0.72,0.74
retromenu.csv,0.06,0.5,0.36,0.25,0.86,0.33,0.2,0.15,0.39,0.28,0.22
smbopensoft.csv,0.8,1.0,0.98,0.6,0.76,0.5,0.7,0.29,0.65,0.56,0.69
stuproa-cims.csv,0.0,0.14,0.41,0.35,0.76,0.17,0.02,0.56,0.39,0.61,0.8
thout.csv,0.86,0.79,0.64,0.3,0.76,0.92,0.97,0.82,1.0,0.75,0.72
uface.csv,1.0,1.0,0.91,0.85,1.0,0.75,0.85,0.67,0.61,0.44,0.94
