,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,uface.csv
boost-sandbox.csv,197.5,955.5,98.5,387.0,552.0,195.0,98.5,296.0,97.5,197.0,98.5
bscwweasel.csv,96.5,89.5,98.5,191.0,467.5,96.5,98.5,390.5,288.5,295.5,98.5
capcode.csv,98.5,295.0,197.5,196.0,465.5,94.5,95.5,370.0,196.0,295.5,98.5
lamp.csv,98.5,192.0,97.5,384.0,756.0,195.0,98.5,94.5,93.5,197.0,97.5
nodal.csv,98.5,186.0,196.5,178.0,657.5,747.5,95.5,139.5,93.5,295.5,98.5
pydev.csv,194.0,133.0,197.5,196.0,280.5,96.5,98.5,296.0,196.0,98.5,98.5
retromenu.csv,98.5,376.0,98.5,276.5,89.5,193.0,98.5,193.0,192.0,88.5,98.5
smbopensoft.csv,98.5,394.0,98.5,294.5,756.0,290.5,96.5,294.0,97.5,381.0,98.5
stuproa-cims.csv,5.5,91.5,197.5,280.5,756.0,61.5,103.0,584.5,190.0,385.0,98.5
thout.csv,98.5,394.0,286.5,178.0,558.0,292.5,98.5,491.5,196.0,295.5,98.5
uface.csv,197.5,394.0,197.5,294.5,375.0,292.5,98.5,392.5,290.5,274.5,98.5
