,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,uface.csv
boost-sandbox.csv,0.16,0.16,0.44,0.25,0.55,0.26,0.76,0.35,0.4,0.48,0.84
bscwweasel.csv,0.04,0.1,0.44,0.4,0.49,0.32,0.45,0.39,0.35,0.48,0.73
capcode.csv,0.06,0.21,0.38,0.24,0.48,0.43,0.41,0.34,0.52,0.52,0.6
lamp.csv,0.06,0.33,0.36,0.25,0.51,0.24,0.78,0.42,0.41,0.52,0.7
nodal.csv,0.02,0.22,0.39,0.22,0.34,0.31,0.02,0.16,0.62,0.56,0.59
pydev.csv,0.62,0.11,0.4,0.25,0.57,0.28,0.31,0.36,0.41,0.65,0.76
retromenu.csv,0.11,0.27,0.38,0.22,0.73,0.2,0.32,0.17,0.43,0.38,0.36
smbopensoft.csv,0.81,0.18,0.38,0.18,0.43,0.26,0.73,0.26,0.47,0.38,0.76
stuproa-cims.csv,0.0,0.25,0.36,0.29,0.53,0.21,0.04,0.57,0.31,0.45,0.78
thout.csv,0.65,0.17,0.54,0.29,0.48,0.24,0.85,0.39,0.43,0.5,0.73
uface.csv,0.66,0.18,0.36,0.3,0.57,0.28,0.78,0.4,0.41,0.39,0.95
