,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv
acegisecurity.csv,0.65,0.6,0.64,0.43,0.33,0.45,0.53,0.75,0.42
gdis.csv,0.77,0.82,0.68,0.34,0.78,0.64,0.49,0.38,0.81
kml.csv,0.69,0.98,0.96,0.5,0.75,0.64,0.96,1.0,0.56
ppcboot.csv,0.96,1.0,0.93,0.6,0.97,0.73,0.83,1.0,0.86
repositorium.csv,0.08,0.02,0.02,0.06,0.14,0.82,0.04,0.0,0.28
rsyslog.csv,0.81,0.85,0.77,0.52,0.36,0.91,0.51,0.5,0.65
ultimairis.csv,0.96,1.0,0.82,0.98,1.0,0.36,0.6,1.0,0.95
wow-qrsk.csv,0.08,0.48,0.87,0.34,0.28,0.0,0.02,0.12,0.12
xbg.csv,0.35,0.02,0.08,0.72,0.25,0.09,0.43,0.88,0.19
