,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,0.33,0.47,0.44,0.64,0.57,0.76,0.69,0.9,0.82,0.63
cities3d.csv,0.08,0.83,0.19,0.61,0.14,0.76,0.56,0.0,0.36,0.89
firebird.csv,0.42,0.63,0.57,0.74,0.51,0.76,0.69,1.0,0.77,0.49
hydrogen.csv,0.92,1.0,1.0,1.0,1.0,0.95,0.81,0.2,1.0,1.0
lphant.csv,0.92,0.7,0.7,0.59,0.73,0.95,0.62,0.4,0.64,0.67
open-ms.csv,0.58,0.9,0.83,0.52,0.19,0.78,0.69,0.7,0.36,0.49
qgo.csv,0.92,0.9,0.85,0.68,0.51,0.95,0.75,0.8,0.95,0.88
rhex.csv,0.92,0.67,0.37,0.33,0.29,0.57,0.56,0.2,0.05,0.47
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0
yield.csv,0.58,0.83,0.73,0.96,0.73,1.0,0.81,1.0,0.86,0.82
