,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,358.0,135.0,99.0,99.0,98.5,297.0,185.0,193.0,270.5,99.0
cities3d.csv,84.0,97.5,99.0,99.0,87.5,99.0,189.0,121.0,180.0,99.0
firebird.csv,165.0,95.5,99.0,99.0,98.5,297.0,185.0,193.0,366.0,99.0
hydrogen.csv,567.0,97.5,99.0,99.0,197.5,297.0,185.0,416.0,562.0,99.0
lphant.csv,904.0,97.5,99.0,99.0,197.5,297.0,286.5,90.5,186.0,99.0
open-ms.csv,898.0,97.5,99.0,99.0,98.5,198.0,187.0,193.0,275.5,392.0
qgo.csv,1176.5,97.5,99.0,99.0,98.5,297.0,659.0,95.5,562.0,99.0
rhex.csv,381.0,97.5,99.0,489.0,98.5,198.0,282.5,416.5,40.5,99.0
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0,0.0
yield.csv,987.5,97.5,99.0,99.0,98.5,297.0,381.0,193.0,464.5,99.0
