,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv
array4j.csv,0.95,0.11,0.51,0.1,0.0,0.05,0.25,0.24,0.44,0.11,0.14,0.2,0.43
e-bio-flow.csv,0.29,0.58,0.43,0.42,0.0,0.26,0.38,0.94,0.24,0.31,0.0,0.22,0.0
jas.csv,0.07,0.31,0.0,0.05,0.0,0.05,0.0,0.04,0.64,0.0,0.0,0.18,0.9
jbpm.csv,0.0,0.11,0.1,0.95,0.0,0.11,0.13,0.0,0.45,0.0,0.0,0.04,0.0
jgossipforum.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0
jmonkeyengine.csv,0.28,0.46,0.35,0.29,0.0,0.2,0.95,0.16,0.0,0.11,0.15,0.17,0.28
joustsim.csv,0.0,0.31,0.51,0.18,0.0,0.39,0.37,0.31,0.8,1.0,0.14,0.33,0.67
log4net.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ngl.csv,0.35,0.31,0.65,0.56,0.0,0.43,0.56,0.5,0.62,0.58,0.63,0.99,0.53
piccolo2d.csv,0.15,0.27,0.88,0.16,0.0,0.05,0.07,0.12,0.0,0.0,0.0,0.1,0.0
pustefix.csv,0.51,0.57,0.1,0.41,0.66,0.97,0.32,0.51,0.81,0.5,0.15,0.15,0.0
reaper3d.csv,0.4,0.71,0.18,0.2,0.36,0.0,0.26,0.12,0.24,0.31,0.9,0.01,0.54
sblim.csv,0.07,0.96,0.1,0.1,0.0,0.11,0.07,0.16,0.0,0.0,0.0,0.02,0.0
