,lamp.csv,thout.csv,fityk.csv,hibernate.csv
fityk.csv,0.48,0.89,0.48,0.6
hibernate.csv,0.79,0.68,0.65,0.54
lamp.csv,0.43,0.66,0.62,0.6
thout.csv,0.98,0.51,0.94,0.85
