,lamp.csv,thout.csv,fityk.csv,hibernate.csv
fityk.csv,0.69,0.4,0.71,0.56
hibernate.csv,0.25,0.58,0.63,0.56
lamp.csv,0.66,0.51,0.52,0.61
thout.csv,0.09,0.58,0.31,0.48
