,dsworkbench.csv,adonthell.csv,yarp0.csv,pokenetonline.csv,foursquared.csv,t-2.csv,avisynth2.csv,jgossipforum.csv,madman.csv,geotools.csv,gephex.csv,bigdata.csv,wsmt.csv,qmmp.csv,simplewebservices.csv,rcp-company-uibindings.csv,jfreechart.csv
adonthell.csv,0.88,0.06,0.71,0.64,0.59,0.72,0.89,0.61,0.57,0.6,0.32,0.62,0.7,0.29,0.61,0.2,0.85
avisynth2.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0
bigdata.csv,1.0,0.98,1.0,0.28,0.43,0.97,1.0,0.98,0.98,0.34,1.0,0.11,0.5,0.98,0.99,0.9,0.99
dsworkbench.csv,0.0,0.02,0.24,0.24,0.13,0.22,0.26,0.11,0.31,0.22,0.02,0.38,0.1,0.05,0.41,0.0,0.22
foursquared.csv,0.19,0.1,0.13,0.24,0.0,0.15,0.11,0.13,0.14,0.25,0.1,0.14,0.13,0.06,0.11,0.1,0.21
geotools.csv,0.31,0.31,0.08,0.16,0.17,0.18,0.16,0.06,0.37,0.0,0.34,0.3,0.3,0.15,0.1,0.1,0.14
gephex.csv,0.81,0.69,0.55,0.72,0.37,0.48,0.55,0.63,0.8,0.43,0.02,0.43,0.67,0.82,0.76,0.1,0.82
jgossipforum.csv,0.0,0.04,0.08,0.0,0.09,0.02,0.02,0.0,0.08,0.03,0.05,0.03,0.17,0.0,0.0,0.0,0.0
madman.csv,0.0,0.02,0.03,0.08,0.02,0.11,0.03,0.0,0.0,0.07,0.1,0.0,0.17,0.03,0.01,0.0,0.0
pokenetonline.csv,0.69,0.04,0.16,0.04,0.39,0.27,0.34,0.53,0.33,0.27,0.17,0.65,0.47,0.15,0.18,0.3,0.76
qmmp.csv,0.5,0.56,0.42,0.36,0.57,0.83,0.39,0.17,0.53,0.74,0.59,0.7,0.7,0.0,0.62,0.6,0.4
rcp-company-uibindings.csv,0.88,0.9,0.76,0.76,0.96,0.88,0.77,0.8,0.88,0.98,0.8,0.97,1.0,0.61,0.7,0.1,0.93
simplewebservices.csv,0.62,0.46,0.58,0.52,0.74,0.38,0.74,0.92,0.82,0.61,0.59,0.68,0.67,0.85,0.01,0.5,0.76
t-2.csv,0.38,0.25,0.53,0.44,0.46,0.0,0.27,0.18,0.29,0.23,0.61,0.22,0.13,0.29,0.17,0.2,0.28
wsmt.csv,0.0,0.12,0.08,0.04,0.11,0.23,0.03,0.0,0.06,0.16,0.07,0.11,0.03,0.02,0.0,0.0,0.01
yarp0.csv,0.38,0.46,0.03,0.4,0.33,0.3,0.03,0.72,0.63,0.27,0.49,0.27,0.57,0.85,0.23,0.2,0.29
