,dsworkbench.csv,adonthell.csv,yarp0.csv,pokenetonline.csv,foursquared.csv,t-2.csv,avisynth2.csv,jgossipforum.csv,madman.csv,geotools.csv,gephex.csv,bigdata.csv,wsmt.csv,qmmp.csv,simplewebservices.csv,rcp-company-uibindings.csv,jfreechart.csv
adonthell.csv,0.71,0.93,0.46,0.73,0.41,0.22,0.1,0.07,0.15,0.46,0.59,0.7,0.49,0.51,0.59,0.81,0.02
avisynth2.csv,0.04,0.0,0.12,0.0,0.0,0.02,1.0,0.0,0.0,0.0,0.0,0.04,0.05,0.0,0.0,0.01,0.0
bigdata.csv,0.79,0.69,0.46,0.51,0.51,0.22,0.09,0.04,0.25,0.41,0.78,0.99,0.51,0.67,0.59,0.92,0.02
dsworkbench.csv,1.0,0.21,0.33,0.37,0.46,0.16,0.1,0.0,0.16,0.41,0.15,0.48,0.51,0.03,0.41,0.24,0.0
foursquared.csv,0.44,0.29,0.17,0.47,0.98,0.15,0.0,0.17,0.24,0.28,0.21,0.3,0.27,0.39,0.26,0.3,0.08
geotools.csv,0.36,0.35,0.0,0.51,0.32,0.31,0.0,0.0,0.42,0.96,0.44,0.48,0.2,0.27,0.08,0.54,0.0
gephex.csv,0.78,0.58,0.36,0.79,0.39,0.23,0.0,0.01,0.26,0.47,0.98,0.54,0.55,0.62,0.56,0.62,0.02
jgossipforum.csv,0.0,0.09,0.19,0.06,0.07,0.08,0.0,0.91,0.15,0.1,0.03,0.06,0.26,0.06,0.0,0.09,0.0
madman.csv,0.0,0.21,0.0,0.0,0.0,0.05,0.57,0.0,0.93,0.15,0.1,0.01,0.18,0.06,0.0,0.25,0.0
pokenetonline.csv,0.72,0.2,0.48,0.97,0.44,0.31,0.08,0.05,0.08,0.46,0.38,0.75,0.22,0.2,0.51,0.57,0.02
qmmp.csv,0.57,0.61,0.4,0.72,0.61,0.22,0.07,0.13,0.34,0.44,0.6,0.72,0.33,0.98,0.55,0.78,0.05
rcp-company-uibindings.csv,0.88,0.69,0.5,0.82,0.52,0.23,0.11,0.02,0.27,0.44,0.73,0.91,0.7,0.73,0.53,1.0,0.02
simplewebservices.csv,0.72,0.63,0.35,0.77,0.32,0.28,0.04,0.05,0.12,0.39,0.62,0.72,0.23,0.5,0.97,0.68,0.02
t-2.csv,0.51,0.36,0.29,0.51,0.42,0.97,0.0,0.0,0.0,0.16,0.49,0.33,0.1,0.4,0.2,0.51,0.06
wsmt.csv,0.0,0.17,0.0,0.0,0.24,0.13,0.33,0.29,0.31,0.11,0.05,0.13,0.91,0.25,0.0,0.17,0.0
yarp0.csv,0.49,0.33,0.9,0.39,0.14,0.23,0.0,0.06,0.1,0.27,0.57,0.38,0.51,0.57,0.41,0.45,0.0
