,dsworkbench.csv,adonthell.csv,yarp0.csv,pokenetonline.csv,foursquared.csv,t-2.csv,avisynth2.csv,jgossipforum.csv,madman.csv,geotools.csv,gephex.csv,bigdata.csv,wsmt.csv,qmmp.csv,simplewebservices.csv,rcp-company-uibindings.csv,jfreechart.csv
adonthell.csv,0.93,0.1,0.73,0.69,0.74,0.76,0.89,0.61,0.85,0.65,0.6,0.75,0.85,0.63,0.65,0.38,0.85
avisynth2.csv,0.98,1.0,0.94,1.0,1.0,0.99,0.0,1.0,1.0,1.0,1.0,0.98,0.97,1.0,1.0,1.0,1.0
bigdata.csv,1.01,0.98,1.0,0.68,0.57,0.98,1.0,0.98,0.98,0.62,1.0,0.11,0.72,0.98,0.99,0.91,0.99
dsworkbench.csv,0.0,0.88,0.73,0.79,0.64,0.81,0.71,1.01,0.81,0.64,0.92,0.76,0.64,0.99,0.72,0.86,1.02
foursquared.csv,0.72,0.82,0.88,0.71,0.04,0.84,1.01,0.42,0.76,0.77,0.88,0.83,0.84,0.75,0.84,0.83,0.21
geotools.csv,0.82,0.8,1.0,0.65,0.77,0.62,1.01,1.0,0.39,0.08,0.74,0.73,0.91,0.84,0.96,0.64,1.01
gephex.csv,0.84,0.78,0.75,0.74,0.69,0.64,1.14,1.02,0.81,0.57,0.04,0.75,0.78,0.84,0.78,0.55,0.82
jgossipforum.csv,1.0,0.95,0.88,0.97,0.96,0.95,1.0,0.0,0.88,0.94,0.99,0.97,0.85,0.97,1.0,0.95,1.0
madman.csv,1.0,0.88,1.0,1.0,1.0,0.96,0.33,1.0,0.12,0.91,0.95,1.0,0.9,0.97,1.0,0.86,1.0
pokenetonline.csv,0.76,0.88,0.58,0.05,0.63,0.53,0.75,0.66,0.93,0.56,0.77,0.73,0.95,0.89,0.6,0.67,0.76
qmmp.csv,0.74,0.67,0.65,0.5,0.57,0.84,0.77,0.44,0.55,0.76,0.72,0.8,0.98,0.05,0.68,0.69,0.4
rcp-company-uibindings.csv,0.88,0.9,0.77,0.76,0.96,0.88,0.77,1.0,0.88,0.98,0.82,0.97,1.0,0.62,0.75,0.1,0.93
simplewebservices.csv,0.7,0.59,0.76,0.57,0.92,0.55,1.0,0.92,1.03,0.72,0.71,0.78,1.04,0.94,0.04,0.69,0.76
t-2.csv,0.72,0.77,0.82,0.74,0.68,0.06,1.04,1.02,1.04,0.89,0.83,0.82,0.95,0.74,0.88,0.68,0.28
wsmt.csv,1.0,0.91,1.0,1.0,0.84,0.85,0.67,0.8,0.75,0.93,0.97,0.94,0.15,0.86,1.0,0.9,1.0
yarp0.csv,0.74,0.86,0.13,0.82,0.93,0.66,1.0,0.72,0.98,0.79,0.69,0.8,0.75,0.9,0.7,0.73,1.04
