,dsworkbench.csv,adonthell.csv,yarp0.csv,pokenetonline.csv,foursquared.csv,t-2.csv,avisynth2.csv,jgossipforum.csv,madman.csv,geotools.csv,gephex.csv,bigdata.csv,wsmt.csv,qmmp.csv,simplewebservices.csv,rcp-company-uibindings.csv,jfreechart.csv
adonthell.csv,0.49,0.66,0.5,0.43,0.47,0.44,0.45,0.43,0.61,0.46,0.56,0.47,0.41,0.78,0.38,0.43,0.31
avisynth2.csv,0.0,0.0,0.0,0.0,0.0,0.75,0.67,0.0,0.0,0.0,0.0,0.8,0.67,0.0,0.0,0.0,0.0
bigdata.csv,0.41,0.47,0.39,0.57,0.4,0.45,0.4,0.41,0.39,0.46,0.35,0.43,0.44,0.41,0.35,0.41,0.28
dsworkbench.csv,0.42,0.88,0.86,0.86,0.8,0.83,0.82,0.96,0.76,0.65,0.86,0.58,0.94,0.75,0.61,0.97,0.91
foursquared.csv,0.72,0.88,0.86,0.62,0.57,0.9,0.86,0.94,0.89,0.78,0.92,0.91,0.9,0.85,0.97,0.91,0.87
geotools.csv,0.88,0.52,0.67,0.73,0.79,0.66,0.9,0.92,0.4,0.68,0.76,0.8,0.71,0.95,0.95,0.77,0.93
gephex.csv,0.42,0.54,0.52,0.41,0.48,0.47,0.53,0.52,0.39,0.44,0.49,0.56,0.46,0.45,0.34,0.5,0.31
jgossipforum.csv,0.0,0.8,0.8,0.5,0.8,0.95,0.0,0.83,0.8,0.92,0.67,0.89,0.82,0.5,0.0,0.91,0.0
madman.csv,0.0,0.88,0.0,0.5,0.0,0.99,0.75,0.0,0.86,0.96,0.88,0.0,0.89,0.75,0.5,0.97,0.0
pokenetonline.csv,0.42,0.89,0.69,0.37,0.47,0.52,0.59,0.48,0.65,0.5,0.88,0.39,0.5,0.94,0.72,0.49,0.33
qmmp.csv,0.55,0.55,0.54,0.42,0.31,0.47,0.6,0.78,0.45,0.45,0.43,0.48,0.44,0.53,0.48,0.47,0.55
rcp-company-uibindings.csv,0.38,0.44,0.34,0.34,0.32,0.44,0.41,0.46,0.37,0.41,0.34,0.4,0.32,0.42,0.35,0.4,0.29
simplewebservices.csv,0.5,0.65,0.57,0.44,0.47,0.63,0.49,0.42,0.53,0.52,0.52,0.57,0.48,0.51,0.57,0.55,0.34
t-2.csv,0.72,0.96,0.69,0.71,0.58,0.99,0.94,0.97,0.93,0.98,0.62,0.98,0.83,0.97,0.97,0.85,0.8
wsmt.csv,0.0,0.92,0.67,0.0,0.89,0.99,0.67,0.5,0.8,0.98,0.8,0.96,0.65,0.9,0.0,0.96,0.0
yarp0.csv,0.62,0.74,0.73,0.81,0.83,0.62,0.5,0.43,0.61,0.75,0.62,0.77,0.49,0.48,0.77,0.73,0.63
