,thrust.csv,k3b.csv,mp-rechnungs-und-kundenverwaltung.csv,fityk.csv
fityk.csv,0.23,0.25,0.46,0.0
k3b.csv,0.28,0.0,0.42,0.18
mp-rechnungs-und-kundenverwaltung.csv,0.13,0.29,0.01,0.23
thrust.csv,0.02,0.38,0.25,0.14
