,thrust.csv,k3b.csv,mp-rechnungs-und-kundenverwaltung.csv,fityk.csv
fityk.csv,0.39,0.56,0.48,0.98
k3b.csv,0.39,0.98,0.57,0.52
mp-rechnungs-und-kundenverwaltung.csv,0.14,0.44,0.97,0.29
thrust.csv,0.95,0.65,0.32,0.21
